autonomous_communities_and_cities,index_type,year,total
Nacional,General,2016,100.0
Nacional,New dwelling,2016,13.618
Nacional,Second-hand dwelling,2016,86.382
01 Andalucía,General,2016,100.0
01 Andalucía,New dwelling,2016,11.834
01 Andalucía,Second-hand dwelling,2016,88.166
02 Aragón,General,2016,100.0
02 Aragón,New dwelling,2016,18.463
02 Aragón,Second-hand dwelling,2016,81.537
03 Asturias. Principado de,General,2016,100.0
03 Asturias. Principado de,New dwelling,2016,16.247
03 Asturias. Principado de,Second-hand dwelling,2016,83.753
04 Balears. Illes,General,2016,100.0
04 Balears. Illes,New dwelling,2016,11.217
04 Balears. Illes,Second-hand dwelling,2016,88.783
05 Canarias,General,2016,100.0
05 Canarias,New dwelling,2016,10.792
05 Canarias,Second-hand dwelling,2016,89.208
06 Cantabria,General,2016,100.0
06 Cantabria,New dwelling,2016,19.317
06 Cantabria,Second-hand dwelling,2016,80.683
07 Castilla y León,General,2016,100.0
07 Castilla y León,New dwelling,2016,15.946
07 Castilla y León,Second-hand dwelling,2016,84.054
08 Castilla - La Mancha,General,2016,100.0
08 Castilla - La Mancha,New dwelling,2016,20.092
08 Castilla - La Mancha,Second-hand dwelling,2016,79.908
09 Cataluña,General,2016,100.0
09 Cataluña,New dwelling,2016,9.084
09 Cataluña,Second-hand dwelling,2016,90.916
10 Comunitat Valenciana,General,2016,100.0
10 Comunitat Valenciana,New dwelling,2016,12.688
10 Comunitat Valenciana,Second-hand dwelling,2016,87.312
11 Extremadura,General,2016,100.0
11 Extremadura,New dwelling,2016,12.639
11 Extremadura,Second-hand dwelling,2016,87.361
12 Galicia,General,2016,100.0
12 Galicia,New dwelling,2016,21.843
12 Galicia,Second-hand dwelling,2016,78.157
13 Madrid. Comunidad de,General,2016,100.0
13 Madrid. Comunidad de,New dwelling,2016,14.486
13 Madrid. Comunidad de,Second-hand dwelling,2016,85.514
14 Murcia. Región de,General,2016,100.0
14 Murcia. Región de,New dwelling,2016,14.64
14 Murcia. Región de,Second-hand dwelling,2016,85.36
15 Navarra. Comunidad Foral de,General,2016,100.0
15 Navarra. Comunidad Foral de,New dwelling,2016,27.297
15 Navarra. Comunidad Foral de,Second-hand dwelling,2016,72.703
16 País Vasco,General,2016,100.0
16 País Vasco,New dwelling,2016,20.953
16 País Vasco,Second-hand dwelling,2016,79.047
17 Rioja. La,General,2016,100.0
17 Rioja. La,New dwelling,2016,16.883
17 Rioja. La,Second-hand dwelling,2016,83.117
18 Ceuta,General,2016,
18 Ceuta,New dwelling,2016,
18 Ceuta,Second-hand dwelling,2016,
19 Melilla,General,2016,
19 Melilla,New dwelling,2016,
19 Melilla,Second-hand dwelling,2016,
