sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2018,58.61,4
Both sexes,National Total,Activity rate,2018,58.73,3
Both sexes,National Total,Activity rate,2018,58.8,2
Both sexes,National Total,Activity rate,2018,58.46,1
Both sexes,National Total,Unemployment rate,2018,14.45,4
Both sexes,National Total,Unemployment rate,2018,14.55,3
Both sexes,National Total,Unemployment rate,2018,15.28,2
Both sexes,National Total,Unemployment rate,2018,16.74,1
Both sexes,National Total,Employment rate,2018,50.14,4
Both sexes,National Total,Employment rate,2018,50.18,3
Both sexes,National Total,Employment rate,2018,49.81,2
Both sexes,National Total,Employment rate,2018,48.67,1
Both sexes,02 Albacete,Activity rate,2018,59.13,4
Both sexes,02 Albacete,Activity rate,2018,59.41,3
Both sexes,02 Albacete,Activity rate,2018,60.4,2
Both sexes,02 Albacete,Activity rate,2018,58.97,1
Both sexes,02 Albacete,Unemployment rate,2018,17.59,4
Both sexes,02 Albacete,Unemployment rate,2018,16.86,3
Both sexes,02 Albacete,Unemployment rate,2018,20.66,2
Both sexes,02 Albacete,Unemployment rate,2018,23.82,1
Both sexes,02 Albacete,Employment rate,2018,48.73,4
Both sexes,02 Albacete,Employment rate,2018,49.39,3
Both sexes,02 Albacete,Employment rate,2018,47.92,2
Both sexes,02 Albacete,Employment rate,2018,44.92,1
Both sexes,03 Alicante/Alacant,Activity rate,2018,56.73,4
Both sexes,03 Alicante/Alacant,Activity rate,2018,58.2,3
Both sexes,03 Alicante/Alacant,Activity rate,2018,57.23,2
Both sexes,03 Alicante/Alacant,Activity rate,2018,57.69,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2018,15.63,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2018,15.14,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2018,15.6,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2018,18.3,1
Both sexes,03 Alicante/Alacant,Employment rate,2018,47.86,4
Both sexes,03 Alicante/Alacant,Employment rate,2018,49.39,3
Both sexes,03 Alicante/Alacant,Employment rate,2018,48.3,2
Both sexes,03 Alicante/Alacant,Employment rate,2018,47.14,1
Both sexes,04 Almería,Activity rate,2018,59.33,4
Both sexes,04 Almería,Activity rate,2018,59.05,3
Both sexes,04 Almería,Activity rate,2018,58.38,2
Both sexes,04 Almería,Activity rate,2018,61.36,1
Both sexes,04 Almería,Unemployment rate,2018,18.77,4
Both sexes,04 Almería,Unemployment rate,2018,25.53,3
Both sexes,04 Almería,Unemployment rate,2018,22.52,2
Both sexes,04 Almería,Unemployment rate,2018,23.49,1
Both sexes,04 Almería,Employment rate,2018,48.2,4
Both sexes,04 Almería,Employment rate,2018,43.97,3
Both sexes,04 Almería,Employment rate,2018,45.24,2
Both sexes,04 Almería,Employment rate,2018,46.94,1
Both sexes,01 Araba/Álava,Activity rate,2018,58.13,4
Both sexes,01 Araba/Álava,Activity rate,2018,57.77,3
Both sexes,01 Araba/Álava,Activity rate,2018,57.7,2
Both sexes,01 Araba/Álava,Activity rate,2018,57.56,1
Both sexes,01 Araba/Álava,Unemployment rate,2018,7.39,4
Both sexes,01 Araba/Álava,Unemployment rate,2018,7.99,3
Both sexes,01 Araba/Álava,Unemployment rate,2018,10.53,2
Both sexes,01 Araba/Álava,Unemployment rate,2018,10.54,1
Both sexes,01 Araba/Álava,Employment rate,2018,53.83,4
Both sexes,01 Araba/Álava,Employment rate,2018,53.15,3
Both sexes,01 Araba/Álava,Employment rate,2018,51.63,2
Both sexes,01 Araba/Álava,Employment rate,2018,51.49,1
Both sexes,33 Asturias,Activity rate,2018,50.27,4
Both sexes,33 Asturias,Activity rate,2018,51.06,3
Both sexes,33 Asturias,Activity rate,2018,50.81,2
Both sexes,33 Asturias,Activity rate,2018,50.95,1
Both sexes,33 Asturias,Unemployment rate,2018,12.86,4
Both sexes,33 Asturias,Unemployment rate,2018,13.45,3
Both sexes,33 Asturias,Unemployment rate,2018,13.1,2
Both sexes,33 Asturias,Unemployment rate,2018,15.02,1
Both sexes,33 Asturias,Employment rate,2018,43.81,4
Both sexes,33 Asturias,Employment rate,2018,44.19,3
Both sexes,33 Asturias,Employment rate,2018,44.16,2
Both sexes,33 Asturias,Employment rate,2018,43.29,1
Both sexes,05 Ávila,Activity rate,2018,52.82,4
Both sexes,05 Ávila,Activity rate,2018,53.45,3
Both sexes,05 Ávila,Activity rate,2018,53.02,2
Both sexes,05 Ávila,Activity rate,2018,53.75,1
Both sexes,05 Ávila,Unemployment rate,2018,13.53,4
Both sexes,05 Ávila,Unemployment rate,2018,15.26,3
Both sexes,05 Ávila,Unemployment rate,2018,18.05,2
Both sexes,05 Ávila,Unemployment rate,2018,18.85,1
Both sexes,05 Ávila,Employment rate,2018,45.67,4
Both sexes,05 Ávila,Employment rate,2018,45.3,3
Both sexes,05 Ávila,Employment rate,2018,43.45,2
Both sexes,05 Ávila,Employment rate,2018,43.62,1
Both sexes,06 Badajoz,Activity rate,2018,56.4,4
Both sexes,06 Badajoz,Activity rate,2018,55.52,3
Both sexes,06 Badajoz,Activity rate,2018,56.14,2
Both sexes,06 Badajoz,Activity rate,2018,55.92,1
Both sexes,06 Badajoz,Unemployment rate,2018,24.1,4
Both sexes,06 Badajoz,Unemployment rate,2018,23.03,3
Both sexes,06 Badajoz,Unemployment rate,2018,26.03,2
Both sexes,06 Badajoz,Unemployment rate,2018,28.64,1
Both sexes,06 Badajoz,Employment rate,2018,42.8,4
Both sexes,06 Badajoz,Employment rate,2018,42.74,3
Both sexes,06 Badajoz,Employment rate,2018,41.53,2
Both sexes,06 Badajoz,Employment rate,2018,39.9,1
Both sexes,07 Balears. Illes,Activity rate,2018,62.88,4
Both sexes,07 Balears. Illes,Activity rate,2018,67.93,3
Both sexes,07 Balears. Illes,Activity rate,2018,66.07,2
Both sexes,07 Balears. Illes,Activity rate,2018,60.78,1
Both sexes,07 Balears. Illes,Unemployment rate,2018,10.91,4
Both sexes,07 Balears. Illes,Unemployment rate,2018,7.16,3
Both sexes,07 Balears. Illes,Unemployment rate,2018,11.22,2
Both sexes,07 Balears. Illes,Unemployment rate,2018,17.42,1
Both sexes,07 Balears. Illes,Employment rate,2018,56.02,4
Both sexes,07 Balears. Illes,Employment rate,2018,63.06,3
Both sexes,07 Balears. Illes,Employment rate,2018,58.66,2
Both sexes,07 Balears. Illes,Employment rate,2018,50.19,1
Both sexes,08 Barcelona,Activity rate,2018,61.89,4
Both sexes,08 Barcelona,Activity rate,2018,61.02,3
Both sexes,08 Barcelona,Activity rate,2018,61.3,2
Both sexes,08 Barcelona,Activity rate,2018,61.33,1
Both sexes,08 Barcelona,Unemployment rate,2018,11.34,4
Both sexes,08 Barcelona,Unemployment rate,2018,10.55,3
Both sexes,08 Barcelona,Unemployment rate,2018,10.91,2
Both sexes,08 Barcelona,Unemployment rate,2018,11.55,1
Both sexes,08 Barcelona,Employment rate,2018,54.87,4
Both sexes,08 Barcelona,Employment rate,2018,54.59,3
Both sexes,08 Barcelona,Employment rate,2018,54.61,2
Both sexes,08 Barcelona,Employment rate,2018,54.24,1
Both sexes,48 Bizkaia,Activity rate,2018,56.22,4
Both sexes,48 Bizkaia,Activity rate,2018,55.29,3
Both sexes,48 Bizkaia,Activity rate,2018,55.91,2
