autonomous_communities_and_cities,index_type,year,total
Nacional,General,2018,100.0
Nacional,New dwelling,2018,12.074
Nacional,Second-hand dwelling,2018,87.926
01 Andalucía,General,2018,100.0
01 Andalucía,New dwelling,2018,8.753
01 Andalucía,Second-hand dwelling,2018,91.247
02 Aragón,General,2018,100.0
02 Aragón,New dwelling,2018,20.129
02 Aragón,Second-hand dwelling,2018,79.871
03 Asturias. Principado de,General,2018,100.0
03 Asturias. Principado de,New dwelling,2018,12.264
03 Asturias. Principado de,Second-hand dwelling,2018,87.736
04 Balears. Illes,General,2018,100.0
04 Balears. Illes,New dwelling,2018,7.448
04 Balears. Illes,Second-hand dwelling,2018,92.552
05 Canarias,General,2018,100.0
05 Canarias,New dwelling,2018,7.644
05 Canarias,Second-hand dwelling,2018,92.356
06 Cantabria,General,2018,100.0
06 Cantabria,New dwelling,2018,13.935
06 Cantabria,Second-hand dwelling,2018,86.065
07 Castilla y León,General,2018,100.0
07 Castilla y León,New dwelling,2018,11.176
07 Castilla y León,Second-hand dwelling,2018,88.824
08 Castilla - La Mancha,General,2018,100.0
08 Castilla - La Mancha,New dwelling,2018,14.879
08 Castilla - La Mancha,Second-hand dwelling,2018,85.121
09 Cataluña,General,2018,100.0
09 Cataluña,New dwelling,2018,7.651
09 Cataluña,Second-hand dwelling,2018,92.349
10 Comunitat Valenciana,General,2018,100.0
10 Comunitat Valenciana,New dwelling,2018,13.617
10 Comunitat Valenciana,Second-hand dwelling,2018,86.383
11 Extremadura,General,2018,100.0
11 Extremadura,New dwelling,2018,4.7
11 Extremadura,Second-hand dwelling,2018,95.3
12 Galicia,General,2018,100.0
12 Galicia,New dwelling,2018,14.528
12 Galicia,Second-hand dwelling,2018,85.472
13 Madrid. Comunidad de,General,2018,100.0
13 Madrid. Comunidad de,New dwelling,2018,16.063
13 Madrid. Comunidad de,Second-hand dwelling,2018,83.937
14 Murcia. Región de,General,2018,100.0
14 Murcia. Región de,New dwelling,2018,13.346
14 Murcia. Región de,Second-hand dwelling,2018,86.654
15 Navarra. Comunidad Foral de,General,2018,100.0
15 Navarra. Comunidad Foral de,New dwelling,2018,26.727
15 Navarra. Comunidad Foral de,Second-hand dwelling,2018,73.273
16 País Vasco,General,2018,100.0
16 País Vasco,New dwelling,2018,18.251
16 País Vasco,Second-hand dwelling,2018,81.749
17 Rioja. La,General,2018,100.0
17 Rioja. La,New dwelling,2018,8.555
17 Rioja. La,Second-hand dwelling,2018,91.445
18 Ceuta,General,2018,
18 Ceuta,New dwelling,2018,
18 Ceuta,Second-hand dwelling,2018,
19 Melilla,General,2018,
19 Melilla,New dwelling,2018,
19 Melilla,Second-hand dwelling,2018,
