sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2009,59.99,4
Both sexes,National Total,Activity rate,2009,60.05,3
Both sexes,National Total,Activity rate,2009,60.3,2
Both sexes,National Total,Activity rate,2009,60.39,1
Both sexes,National Total,Unemployment rate,2009,18.66,4
Both sexes,National Total,Unemployment rate,2009,17.75,3
Both sexes,National Total,Unemployment rate,2009,17.77,2
Both sexes,National Total,Unemployment rate,2009,17.24,1
Both sexes,National Total,Employment rate,2009,48.8,4
Both sexes,National Total,Employment rate,2009,49.39,3
Both sexes,National Total,Employment rate,2009,49.58,2
Both sexes,National Total,Employment rate,2009,49.97,1
Both sexes,02 Albacete,Activity rate,2009,57.2,4
Both sexes,02 Albacete,Activity rate,2009,59,3
Both sexes,02 Albacete,Activity rate,2009,58.4,2
Both sexes,02 Albacete,Activity rate,2009,60.21,1
Both sexes,02 Albacete,Unemployment rate,2009,21.46,4
Both sexes,02 Albacete,Unemployment rate,2009,19.17,3
Both sexes,02 Albacete,Unemployment rate,2009,19.98,2
Both sexes,02 Albacete,Unemployment rate,2009,18.47,1
Both sexes,02 Albacete,Employment rate,2009,44.93,4
Both sexes,02 Albacete,Employment rate,2009,47.69,3
Both sexes,02 Albacete,Employment rate,2009,46.73,2
Both sexes,02 Albacete,Employment rate,2009,49.08,1
Both sexes,03 Alicante/Alacant,Activity rate,2009,59.68,4
Both sexes,03 Alicante/Alacant,Activity rate,2009,60.47,3
Both sexes,03 Alicante/Alacant,Activity rate,2009,60.67,2
Both sexes,03 Alicante/Alacant,Activity rate,2009,59.27,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2009,23.36,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2009,21.81,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2009,21.25,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2009,21.43,1
Both sexes,03 Alicante/Alacant,Employment rate,2009,45.74,4
Both sexes,03 Alicante/Alacant,Employment rate,2009,47.29,3
Both sexes,03 Alicante/Alacant,Employment rate,2009,47.78,2
Both sexes,03 Alicante/Alacant,Employment rate,2009,46.57,1
Both sexes,04 Almería,Activity rate,2009,63.46,4
Both sexes,04 Almería,Activity rate,2009,64.22,3
Both sexes,04 Almería,Activity rate,2009,64.45,2
Both sexes,04 Almería,Activity rate,2009,64.99,1
Both sexes,04 Almería,Unemployment rate,2009,24.57,4
Both sexes,04 Almería,Unemployment rate,2009,30.09,3
Both sexes,04 Almería,Unemployment rate,2009,26.95,2
Both sexes,04 Almería,Unemployment rate,2009,24.68,1
Both sexes,04 Almería,Employment rate,2009,47.87,4
Both sexes,04 Almería,Employment rate,2009,44.89,3
Both sexes,04 Almería,Employment rate,2009,47.08,2
Both sexes,04 Almería,Employment rate,2009,48.95,1
Both sexes,01 Araba/Álava,Activity rate,2009,61.43,4
Both sexes,01 Araba/Álava,Activity rate,2009,60.77,3
Both sexes,01 Araba/Álava,Activity rate,2009,60.9,2
Both sexes,01 Araba/Álava,Activity rate,2009,62.23,1
Both sexes,01 Araba/Álava,Unemployment rate,2009,14.74,4
Both sexes,01 Araba/Álava,Unemployment rate,2009,12.91,3
Both sexes,01 Araba/Álava,Unemployment rate,2009,9.42,2
Both sexes,01 Araba/Álava,Unemployment rate,2009,9.9,1
Both sexes,01 Araba/Álava,Employment rate,2009,52.37,4
Both sexes,01 Araba/Álava,Employment rate,2009,52.92,3
Both sexes,01 Araba/Álava,Employment rate,2009,55.16,2
Both sexes,01 Araba/Álava,Employment rate,2009,56.07,1
Both sexes,33 Asturias,Activity rate,2009,51.58,4
Both sexes,33 Asturias,Activity rate,2009,51.99,3
Both sexes,33 Asturias,Activity rate,2009,52.06,2
Both sexes,33 Asturias,Activity rate,2009,52.22,1
Both sexes,33 Asturias,Unemployment rate,2009,14.13,4
Both sexes,33 Asturias,Unemployment rate,2009,13.54,3
Both sexes,33 Asturias,Unemployment rate,2009,13.94,2
Both sexes,33 Asturias,Unemployment rate,2009,12.07,1
Both sexes,33 Asturias,Employment rate,2009,44.29,4
Both sexes,33 Asturias,Employment rate,2009,44.95,3
Both sexes,33 Asturias,Employment rate,2009,44.8,2
Both sexes,33 Asturias,Employment rate,2009,45.92,1
Both sexes,05 Ávila,Activity rate,2009,51.28,4
Both sexes,05 Ávila,Activity rate,2009,53.12,3
Both sexes,05 Ávila,Activity rate,2009,52.48,2
