autonomous_communities_and_cities,index_type,year,total
Nacional,General,2009,100.0
Nacional,New dwelling,2009,54.346
Nacional,Second-hand dwelling,2009,45.654
01 Andalucía,General,2009,100.0
01 Andalucía,New dwelling,2009,57.367
01 Andalucía,Second-hand dwelling,2009,42.633
02 Aragón,General,2009,100.0
02 Aragón,New dwelling,2009,58.572
02 Aragón,Second-hand dwelling,2009,41.428
03 Asturias. Principado de,General,2009,100.0
03 Asturias. Principado de,New dwelling,2009,62.158
03 Asturias. Principado de,Second-hand dwelling,2009,37.842
04 Balears. Illes,General,2009,100.0
04 Balears. Illes,New dwelling,2009,40.753
04 Balears. Illes,Second-hand dwelling,2009,59.247
05 Canarias,General,2009,100.0
05 Canarias,New dwelling,2009,51.72
05 Canarias,Second-hand dwelling,2009,48.28
06 Cantabria,General,2009,100.0
06 Cantabria,New dwelling,2009,66.587
06 Cantabria,Second-hand dwelling,2009,33.413
07 Castilla y León,General,2009,100.0
07 Castilla y León,New dwelling,2009,68.142
07 Castilla y León,Second-hand dwelling,2009,31.858
08 Castilla - La Mancha,General,2009,100.0
08 Castilla - La Mancha,New dwelling,2009,73.64
08 Castilla - La Mancha,Second-hand dwelling,2009,26.36
09 Cataluña,General,2009,100.0
09 Cataluña,New dwelling,2009,38.785
09 Cataluña,Second-hand dwelling,2009,61.215
10 Comunitat Valenciana,General,2009,100.0
10 Comunitat Valenciana,New dwelling,2009,59.696
10 Comunitat Valenciana,Second-hand dwelling,2009,40.304
11 Extremadura,General,2009,100.0
11 Extremadura,New dwelling,2009,58.174
11 Extremadura,Second-hand dwelling,2009,41.826
12 Galicia,General,2009,100.0
12 Galicia,New dwelling,2009,67.836
12 Galicia,Second-hand dwelling,2009,32.164
13 Madrid. Comunidad de,General,2009,100.0
13 Madrid. Comunidad de,New dwelling,2009,47.38
13 Madrid. Comunidad de,Second-hand dwelling,2009,52.62
14 Murcia. Región de,General,2009,100.0
14 Murcia. Región de,New dwelling,2009,69.777
14 Murcia. Región de,Second-hand dwelling,2009,30.223
15 Navarra. Comunidad Foral de,General,2009,100.0
15 Navarra. Comunidad Foral de,New dwelling,2009,65.929
15 Navarra. Comunidad Foral de,Second-hand dwelling,2009,34.071
16 País Vasco,General,2009,100.0
16 País Vasco,New dwelling,2009,44.096
16 País Vasco,Second-hand dwelling,2009,55.904
17 Rioja. La,General,2009,100.0
17 Rioja. La,New dwelling,2009,69.245
17 Rioja. La,Second-hand dwelling,2009,30.755
18 Ceuta,General,2009,
18 Ceuta,New dwelling,2009,
18 Ceuta,Second-hand dwelling,2009,
19 Melilla,General,2009,
19 Melilla,New dwelling,2009,
19 Melilla,Second-hand dwelling,2009,
