sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2011,60.29,4
Both sexes,National Total,Activity rate,2011,60.44,3
Both sexes,National Total,Activity rate,2011,60.44,2
Both sexes,National Total,Activity rate,2011,60.16,1
Both sexes,National Total,Unemployment rate,2011,22.56,4
Both sexes,National Total,Unemployment rate,2011,21.28,3
Both sexes,National Total,Unemployment rate,2011,20.64,2
Both sexes,National Total,Unemployment rate,2011,21.08,1
Both sexes,National Total,Employment rate,2011,46.69,4
Both sexes,National Total,Employment rate,2011,47.58,3
Both sexes,National Total,Employment rate,2011,47.96,2
Both sexes,National Total,Employment rate,2011,47.48,1
Both sexes,02 Albacete,Activity rate,2011,58.83,4
Both sexes,02 Albacete,Activity rate,2011,59.92,3
Both sexes,02 Albacete,Activity rate,2011,60.11,2
Both sexes,02 Albacete,Activity rate,2011,58.58,1
Both sexes,02 Albacete,Unemployment rate,2011,25.4,4
Both sexes,02 Albacete,Unemployment rate,2011,25.74,3
Both sexes,02 Albacete,Unemployment rate,2011,24.41,2
Both sexes,02 Albacete,Unemployment rate,2011,23.31,1
Both sexes,02 Albacete,Employment rate,2011,43.89,4
Both sexes,02 Albacete,Employment rate,2011,44.49,3
Both sexes,02 Albacete,Employment rate,2011,45.44,2
Both sexes,02 Albacete,Employment rate,2011,44.92,1
Both sexes,03 Alicante/Alacant,Activity rate,2011,58.77,4
Both sexes,03 Alicante/Alacant,Activity rate,2011,57.69,3
Both sexes,03 Alicante/Alacant,Activity rate,2011,57.67,2
Both sexes,03 Alicante/Alacant,Activity rate,2011,56.66,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2011,25.76,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2011,23.56,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2011,22.73,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2011,23.58,1
Both sexes,03 Alicante/Alacant,Employment rate,2011,43.63,4
Both sexes,03 Alicante/Alacant,Employment rate,2011,44.1,3
Both sexes,03 Alicante/Alacant,Employment rate,2011,44.56,2
Both sexes,03 Alicante/Alacant,Employment rate,2011,43.3,1
Both sexes,04 Almería,Activity rate,2011,64.16,4
Both sexes,04 Almería,Activity rate,2011,64.64,3
Both sexes,04 Almería,Activity rate,2011,63.79,2
Both sexes,04 Almería,Activity rate,2011,65.43,1
Both sexes,04 Almería,Unemployment rate,2011,32.74,4
Both sexes,04 Almería,Unemployment rate,2011,34.91,3
Both sexes,04 Almería,Unemployment rate,2011,34.84,2
Both sexes,04 Almería,Unemployment rate,2011,31.53,1
Both sexes,04 Almería,Employment rate,2011,43.16,4
Both sexes,04 Almería,Employment rate,2011,42.07,3
Both sexes,04 Almería,Employment rate,2011,41.56,2
Both sexes,04 Almería,Employment rate,2011,44.8,1
Both sexes,01 Araba/Álava,Activity rate,2011,62.12,4
Both sexes,01 Araba/Álava,Activity rate,2011,61.59,3
Both sexes,01 Araba/Álava,Activity rate,2011,61.21,2
Both sexes,01 Araba/Álava,Activity rate,2011,62.1,1
Both sexes,01 Araba/Álava,Unemployment rate,2011,11.73,4
Both sexes,01 Araba/Álava,Unemployment rate,2011,10.25,3
Both sexes,01 Araba/Álava,Unemployment rate,2011,9.04,2
Both sexes,01 Araba/Álava,Unemployment rate,2011,11.98,1
Both sexes,01 Araba/Álava,Employment rate,2011,54.83,4
Both sexes,01 Araba/Álava,Employment rate,2011,55.28,3
Both sexes,01 Araba/Álava,Employment rate,2011,55.68,2
Both sexes,01 Araba/Álava,Employment rate,2011,54.66,1
Both sexes,33 Asturias,Activity rate,2011,51.8,4
Both sexes,33 Asturias,Activity rate,2011,51.83,3
Both sexes,33 Asturias,Activity rate,2011,52.33,2
Both sexes,33 Asturias,Activity rate,2011,51.5,1
Both sexes,33 Asturias,Unemployment rate,2011,18.84,4
Both sexes,33 Asturias,Unemployment rate,2011,17.19,3
Both sexes,33 Asturias,Unemployment rate,2011,17.17,2
Both sexes,33 Asturias,Unemployment rate,2011,18.16,1
Both sexes,33 Asturias,Employment rate,2011,42.04,4
Both sexes,33 Asturias,Employment rate,2011,42.92,3
Both sexes,33 Asturias,Employment rate,2011,43.34,2
Both sexes,33 Asturias,Employment rate,2011,42.15,1
Both sexes,05 Ávila,Activity rate,2011,53.31,4
Both sexes,05 Ávila,Activity rate,2011,54.45,3
Both sexes,05 Ávila,Activity rate,2011,53.17,2
Both sexes,05 Ávila,Activity rate,2011,51.87,1
Both sexes,05 Ávila,Unemployment rate,2011,21.89,4
Both sexes,05 Ávila,Unemployment rate,2011,21.78,3
Both sexes,05 Ávila,Unemployment rate,2011,24.01,2
Both sexes,05 Ávila,Unemployment rate,2011,27.56,1
Both sexes,05 Ávila,Employment rate,2011,41.64,4
