autonomous_communities_and_cities,index_type,year,total
Nacional,General,2011,100.0
Nacional,New dwelling,2011,49.084
Nacional,Second-hand dwelling,2011,50.916
01 Andalucía,General,2011,100.0
01 Andalucía,New dwelling,2011,52.481
01 Andalucía,Second-hand dwelling,2011,47.519
02 Aragón,General,2011,100.0
02 Aragón,New dwelling,2011,50.322
02 Aragón,Second-hand dwelling,2011,49.678
03 Asturias. Principado de,General,2011,100.0
03 Asturias. Principado de,New dwelling,2011,64.66
03 Asturias. Principado de,Second-hand dwelling,2011,35.34
04 Balears. Illes,General,2011,100.0
04 Balears. Illes,New dwelling,2011,40.361
04 Balears. Illes,Second-hand dwelling,2011,59.639
05 Canarias,General,2011,100.0
05 Canarias,New dwelling,2011,46.304
05 Canarias,Second-hand dwelling,2011,53.696
06 Cantabria,General,2011,100.0
06 Cantabria,New dwelling,2011,65.903
06 Cantabria,Second-hand dwelling,2011,34.097
07 Castilla y León,General,2011,100.0
07 Castilla y León,New dwelling,2011,60.943
07 Castilla y León,Second-hand dwelling,2011,39.057
08 Castilla - La Mancha,General,2011,100.0
08 Castilla - La Mancha,New dwelling,2011,71.704
08 Castilla - La Mancha,Second-hand dwelling,2011,28.296
09 Cataluña,General,2011,100.0
09 Cataluña,New dwelling,2011,31.85
09 Cataluña,Second-hand dwelling,2011,68.15
10 Comunitat Valenciana,General,2011,100.0
10 Comunitat Valenciana,New dwelling,2011,51.837
10 Comunitat Valenciana,Second-hand dwelling,2011,48.163
11 Extremadura,General,2011,100.0
11 Extremadura,New dwelling,2011,59.161
11 Extremadura,Second-hand dwelling,2011,40.839
12 Galicia,General,2011,100.0
12 Galicia,New dwelling,2011,66.583
12 Galicia,Second-hand dwelling,2011,33.417
13 Madrid. Comunidad de,General,2011,100.0
13 Madrid. Comunidad de,New dwelling,2011,36.695
13 Madrid. Comunidad de,Second-hand dwelling,2011,63.305
14 Murcia. Región de,General,2011,100.0
14 Murcia. Región de,New dwelling,2011,69.938
14 Murcia. Región de,Second-hand dwelling,2011,30.062
15 Navarra. Comunidad Foral de,General,2011,100.0
15 Navarra. Comunidad Foral de,New dwelling,2011,58.021
15 Navarra. Comunidad Foral de,Second-hand dwelling,2011,41.979
16 País Vasco,General,2011,100.0
16 País Vasco,New dwelling,2011,42.21
16 País Vasco,Second-hand dwelling,2011,57.79
17 Rioja. La,General,2011,100.0
17 Rioja. La,New dwelling,2011,64.056
17 Rioja. La,Second-hand dwelling,2011,35.944
18 Ceuta,General,2011,
18 Ceuta,New dwelling,2011,
18 Ceuta,Second-hand dwelling,2011,
19 Melilla,General,2011,
19 Melilla,New dwelling,2011,
19 Melilla,Second-hand dwelling,2011,
