autonomous_communities_and_cities,index_type,year,total
Nacional,General,2012,100.0
Nacional,New dwelling,2012,40.296
Nacional,Second-hand dwelling,2012,59.704
01 Andalucía,General,2012,100.0
01 Andalucía,New dwelling,2012,40.511
01 Andalucía,Second-hand dwelling,2012,59.489
02 Aragón,General,2012,100.0
02 Aragón,New dwelling,2012,42.896
02 Aragón,Second-hand dwelling,2012,57.104
03 Asturias. Principado de,General,2012,100.0
03 Asturias. Principado de,New dwelling,2012,57.593
03 Asturias. Principado de,Second-hand dwelling,2012,42.407
04 Balears. Illes,General,2012,100.0
04 Balears. Illes,New dwelling,2012,33.809
04 Balears. Illes,Second-hand dwelling,2012,66.191
05 Canarias,General,2012,100.0
05 Canarias,New dwelling,2012,34.264
05 Canarias,Second-hand dwelling,2012,65.736
06 Cantabria,General,2012,100.0
06 Cantabria,New dwelling,2012,57.113
06 Cantabria,Second-hand dwelling,2012,42.887
07 Castilla y León,General,2012,100.0
07 Castilla y León,New dwelling,2012,50.979
07 Castilla y León,Second-hand dwelling,2012,49.021
08 Castilla - La Mancha,General,2012,100.0
08 Castilla - La Mancha,New dwelling,2012,62.612
08 Castilla - La Mancha,Second-hand dwelling,2012,37.388
09 Cataluña,General,2012,100.0
09 Cataluña,New dwelling,2012,26.81
09 Cataluña,Second-hand dwelling,2012,73.19
10 Comunitat Valenciana,General,2012,100.0
10 Comunitat Valenciana,New dwelling,2012,38.405
10 Comunitat Valenciana,Second-hand dwelling,2012,61.595
11 Extremadura,General,2012,100.0
11 Extremadura,New dwelling,2012,51.075
11 Extremadura,Second-hand dwelling,2012,48.925
12 Galicia,General,2012,100.0
12 Galicia,New dwelling,2012,61.216
12 Galicia,Second-hand dwelling,2012,38.784
13 Madrid. Comunidad de,General,2012,100.0
13 Madrid. Comunidad de,New dwelling,2012,31.942
13 Madrid. Comunidad de,Second-hand dwelling,2012,68.058
14 Murcia. Región de,General,2012,100.0
14 Murcia. Región de,New dwelling,2012,58.197
14 Murcia. Región de,Second-hand dwelling,2012,41.803
15 Navarra. Comunidad Foral de,General,2012,100.0
15 Navarra. Comunidad Foral de,New dwelling,2012,52.594
15 Navarra. Comunidad Foral de,Second-hand dwelling,2012,47.406
16 País Vasco,General,2012,100.0
16 País Vasco,New dwelling,2012,38.498
16 País Vasco,Second-hand dwelling,2012,61.502
17 Rioja. La,General,2012,100.0
17 Rioja. La,New dwelling,2012,56.793
17 Rioja. La,Second-hand dwelling,2012,43.207
18 Ceuta,General,2012,
18 Ceuta,New dwelling,2012,
18 Ceuta,Second-hand dwelling,2012,
19 Melilla,General,2012,
19 Melilla,New dwelling,2012,
19 Melilla,Second-hand dwelling,2012,
