sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2012,60.23,4
Both sexes,National Total,Activity rate,2012,60.55,3
Both sexes,National Total,Activity rate,2012,60.5,2
Both sexes,National Total,Activity rate,2012,60.31,1
Both sexes,National Total,Unemployment rate,2012,25.77,4
Both sexes,National Total,Unemployment rate,2012,24.79,3
Both sexes,National Total,Unemployment rate,2012,24.4,2
Both sexes,National Total,Unemployment rate,2012,24.19,1
Both sexes,National Total,Employment rate,2012,44.71,4
Both sexes,National Total,Employment rate,2012,45.54,3
Both sexes,National Total,Employment rate,2012,45.74,2
Both sexes,National Total,Employment rate,2012,45.72,1
Both sexes,02 Albacete,Activity rate,2012,56.55,4
Both sexes,02 Albacete,Activity rate,2012,56.18,3
Both sexes,02 Albacete,Activity rate,2012,57.73,2
Both sexes,02 Albacete,Activity rate,2012,58.32,1
Both sexes,02 Albacete,Unemployment rate,2012,33.94,4
Both sexes,02 Albacete,Unemployment rate,2012,32.17,3
Both sexes,02 Albacete,Unemployment rate,2012,32.36,2
Both sexes,02 Albacete,Unemployment rate,2012,29.2,1
Both sexes,02 Albacete,Employment rate,2012,37.35,4
Both sexes,02 Albacete,Employment rate,2012,38.11,3
Both sexes,02 Albacete,Employment rate,2012,39.05,2
Both sexes,02 Albacete,Employment rate,2012,41.29,1
Both sexes,03 Alicante/Alacant,Activity rate,2012,57.09,4
Both sexes,03 Alicante/Alacant,Activity rate,2012,58.13,3
Both sexes,03 Alicante/Alacant,Activity rate,2012,58.65,2
Both sexes,03 Alicante/Alacant,Activity rate,2012,58.42,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2012,28.2,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2012,27.22,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2012,27.29,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2012,29.39,1
Both sexes,03 Alicante/Alacant,Employment rate,2012,40.99,4
Both sexes,03 Alicante/Alacant,Employment rate,2012,42.3,3
Both sexes,03 Alicante/Alacant,Employment rate,2012,42.64,2
Both sexes,03 Alicante/Alacant,Employment rate,2012,41.25,1
Both sexes,04 Almería,Activity rate,2012,63.84,4
Both sexes,04 Almería,Activity rate,2012,64.53,3
Both sexes,04 Almería,Activity rate,2012,63.75,2
Both sexes,04 Almería,Activity rate,2012,64.69,1
Both sexes,04 Almería,Unemployment rate,2012,35.19,4
Both sexes,04 Almería,Unemployment rate,2012,37.61,3
Both sexes,04 Almería,Unemployment rate,2012,34.44,2
Both sexes,04 Almería,Unemployment rate,2012,34.02,1
Both sexes,04 Almería,Employment rate,2012,41.37,4
Both sexes,04 Almería,Employment rate,2012,40.26,3
Both sexes,04 Almería,Employment rate,2012,41.79,2
Both sexes,04 Almería,Employment rate,2012,42.69,1
Both sexes,01 Araba/Álava,Activity rate,2012,62.01,4
Both sexes,01 Araba/Álava,Activity rate,2012,61.27,3
Both sexes,01 Araba/Álava,Activity rate,2012,60.48,2
Both sexes,01 Araba/Álava,Activity rate,2012,60.47,1
Both sexes,01 Araba/Álava,Unemployment rate,2012,19.47,4
Both sexes,01 Araba/Álava,Unemployment rate,2012,14.96,3
Both sexes,01 Araba/Álava,Unemployment rate,2012,15.54,2
Both sexes,01 Araba/Álava,Unemployment rate,2012,16.32,1
Both sexes,01 Araba/Álava,Employment rate,2012,49.94,4
Both sexes,01 Araba/Álava,Employment rate,2012,52.1,3
Both sexes,01 Araba/Álava,Employment rate,2012,51.08,2
Both sexes,01 Araba/Álava,Employment rate,2012,50.6,1
Both sexes,33 Asturias,Activity rate,2012,52.4,4
Both sexes,33 Asturias,Activity rate,2012,52.82,3
Both sexes,33 Asturias,Activity rate,2012,52.65,2
Both sexes,33 Asturias,Activity rate,2012,51.33,1
Both sexes,33 Asturias,Unemployment rate,2012,23.82,4
Both sexes,33 Asturias,Unemployment rate,2012,21.83,3
Both sexes,33 Asturias,Unemployment rate,2012,21.12,2
Both sexes,33 Asturias,Unemployment rate,2012,20.52,1
Both sexes,33 Asturias,Employment rate,2012,39.92,4
Both sexes,33 Asturias,Employment rate,2012,41.29,3
Both sexes,33 Asturias,Employment rate,2012,41.53,2
Both sexes,33 Asturias,Employment rate,2012,40.79,1
Both sexes,05 Ávila,Activity rate,2012,54.32,4
Both sexes,05 Ávila,Activity rate,2012,56.03,3
Both sexes,05 Ávila,Activity rate,2012,55.47,2
Both sexes,05 Ávila,Activity rate,2012,53.73,1
Both sexes,05 Ávila,Unemployment rate,2012,22.38,4
Both sexes,05 Ávila,Unemployment rate,2012,24.03,3
Both sexes,05 Ávila,Unemployment rate,2012,26.37,2
Both sexes,05 Ávila,Unemployment rate,2012,25.54,1
Both sexes,05 Ávila,Employment rate,2012,42.16,4
Both sexes,05 Ávila,Employment rate,2012,42.56,3
Both sexes,05 Ávila,Employment rate,2012,40.84,2
Both sexes,05 Ávila,Employment rate,2012,40.01,1
Both sexes,06 Badajoz,Activity rate,2012,57.8,4
Both sexes,06 Badajoz,Activity rate,2012,57.38,3
Both sexes,06 Badajoz,Activity rate,2012,55.1,2
Both sexes,06 Badajoz,Activity rate,2012,55.7,1
Both sexes,06 Badajoz,Unemployment rate,2012,35.49,4
Both sexes,06 Badajoz,Unemployment rate,2012,32.66,3
Both sexes,06 Badajoz,Unemployment rate,2012,34.2,2
Both sexes,06 Badajoz,Unemployment rate,2012,32.86,1
