autonomous_communities_and_cities,index_type,year,total
Nacional,General,2020,100.0
Nacional,New dwelling,2020,13.867
Nacional,Second-hand dwelling,2020,86.133
01 Andalucía,General,2020,100.0
01 Andalucía,New dwelling,2020,12.365
01 Andalucía,Second-hand dwelling,2020,87.635
02 Aragón,General,2020,100.0
02 Aragón,New dwelling,2020,22.159
02 Aragón,Second-hand dwelling,2020,77.841
03 Asturias. Principado de,General,2020,100.0
03 Asturias. Principado de,New dwelling,2020,11.819
03 Asturias. Principado de,Second-hand dwelling,2020,88.181
04 Balears. Illes,General,2020,100.0
04 Balears. Illes,New dwelling,2020,7.541
04 Balears. Illes,Second-hand dwelling,2020,92.459
05 Canarias,General,2020,100.0
05 Canarias,New dwelling,2020,7.178
05 Canarias,Second-hand dwelling,2020,92.822
06 Cantabria,General,2020,100.0
06 Cantabria,New dwelling,2020,12.825
06 Cantabria,Second-hand dwelling,2020,87.175
07 Castilla y León,General,2020,100.0
07 Castilla y León,New dwelling,2020,12.243
07 Castilla y León,Second-hand dwelling,2020,87.757
08 Castilla - La Mancha,General,2020,100.0
08 Castilla - La Mancha,New dwelling,2020,15.59
08 Castilla - La Mancha,Second-hand dwelling,2020,84.41
09 Cataluña,General,2020,100.0
09 Cataluña,New dwelling,2020,9.767
09 Cataluña,Second-hand dwelling,2020,90.233
10 Comunitat Valenciana,General,2020,100.0
10 Comunitat Valenciana,New dwelling,2020,14.654
10 Comunitat Valenciana,Second-hand dwelling,2020,85.346
11 Extremadura,General,2020,100.0
11 Extremadura,New dwelling,2020,7.982
11 Extremadura,Second-hand dwelling,2020,92.018
12 Galicia,General,2020,100.0
12 Galicia,New dwelling,2020,11.193
12 Galicia,Second-hand dwelling,2020,88.807
13 Madrid. Comunidad de,General,2020,100.0
13 Madrid. Comunidad de,New dwelling,2020,18.229
13 Madrid. Comunidad de,Second-hand dwelling,2020,81.771
14 Murcia. Región de,General,2020,100.0
14 Murcia. Región de,New dwelling,2020,11.9
14 Murcia. Región de,Second-hand dwelling,2020,88.1
15 Navarra. Comunidad Foral de,General,2020,100.0
15 Navarra. Comunidad Foral de,New dwelling,2020,32.271
15 Navarra. Comunidad Foral de,Second-hand dwelling,2020,67.729
16 País Vasco,General,2020,100.0
16 País Vasco,New dwelling,2020,18.155
16 País Vasco,Second-hand dwelling,2020,81.845
17 Rioja. La,General,2020,100.0
17 Rioja. La,New dwelling,2020,9.319
17 Rioja. La,Second-hand dwelling,2020,90.681
18 Ceuta,General,2020,
18 Ceuta,New dwelling,2020,
18 Ceuta,Second-hand dwelling,2020,
19 Melilla,General,2020,
19 Melilla,New dwelling,2020,
19 Melilla,Second-hand dwelling,2020,
