sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2020,58.19,4
Both sexes,National Total,Activity rate,2020,57.83,3
Both sexes,National Total,Activity rate,2020,55.54,2
Both sexes,National Total,Activity rate,2020,58.18,1
Both sexes,National Total,Unemployment rate,2020,16.13,4
Both sexes,National Total,Unemployment rate,2020,16.26,3
Both sexes,National Total,Unemployment rate,2020,15.33,2
Both sexes,National Total,Unemployment rate,2020,14.41,1
Both sexes,National Total,Employment rate,2020,48.81,4
Both sexes,National Total,Employment rate,2020,48.43,3
Both sexes,National Total,Employment rate,2020,47.03,2
Both sexes,National Total,Employment rate,2020,49.8,1
Both sexes,02 Albacete,Activity rate,2020,58.9,4
Both sexes,02 Albacete,Activity rate,2020,56.47,3
Both sexes,02 Albacete,Activity rate,2020,53.56,2
Both sexes,02 Albacete,Activity rate,2020,56.58,1
Both sexes,02 Albacete,Unemployment rate,2020,17.44,4
Both sexes,02 Albacete,Unemployment rate,2020,17.48,3
Both sexes,02 Albacete,Unemployment rate,2020,17.41,2
Both sexes,02 Albacete,Unemployment rate,2020,20.72,1
Both sexes,02 Albacete,Employment rate,2020,48.63,4
Both sexes,02 Albacete,Employment rate,2020,46.61,3
Both sexes,02 Albacete,Employment rate,2020,44.23,2
Both sexes,02 Albacete,Employment rate,2020,44.85,1
Both sexes,03 Alicante/Alacant,Activity rate,2020,56.99,4
Both sexes,03 Alicante/Alacant,Activity rate,2020,57.24,3
Both sexes,03 Alicante/Alacant,Activity rate,2020,54.22,2
Both sexes,03 Alicante/Alacant,Activity rate,2020,56.57,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2020,19.41,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2020,19.28,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2020,18.41,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2020,15.01,1
Both sexes,03 Alicante/Alacant,Employment rate,2020,45.92,4
Both sexes,03 Alicante/Alacant,Employment rate,2020,46.21,3
Both sexes,03 Alicante/Alacant,Employment rate,2020,44.23,2
Both sexes,03 Alicante/Alacant,Employment rate,2020,48.08,1
Both sexes,04 Almería,Activity rate,2020,59.73,4
Both sexes,04 Almería,Activity rate,2020,60.02,3
Both sexes,04 Almería,Activity rate,2020,54.35,2
Both sexes,04 Almería,Activity rate,2020,60.94,1
Both sexes,04 Almería,Unemployment rate,2020,21.15,4
Both sexes,04 Almería,Unemployment rate,2020,26.55,3
Both sexes,04 Almería,Unemployment rate,2020,20.21,2
Both sexes,04 Almería,Unemployment rate,2020,19.71,1
Both sexes,04 Almería,Employment rate,2020,47.09,4
Both sexes,04 Almería,Employment rate,2020,44.08,3
Both sexes,04 Almería,Employment rate,2020,43.37,2
Both sexes,04 Almería,Employment rate,2020,48.93,1
Both sexes,01 Araba/Álava,Activity rate,2020,55.11,4
Both sexes,01 Araba/Álava,Activity rate,2020,54.83,3
Both sexes,01 Araba/Álava,Activity rate,2020,54.06,2
Both sexes,01 Araba/Álava,Activity rate,2020,55.24,1
Both sexes,01 Araba/Álava,Unemployment rate,2020,9.99,4
Both sexes,01 Araba/Álava,Unemployment rate,2020,8.04,3
Both sexes,01 Araba/Álava,Unemployment rate,2020,7.81,2
Both sexes,01 Araba/Álava,Unemployment rate,2020,5.59,1
Both sexes,01 Araba/Álava,Employment rate,2020,49.6,4
Both sexes,01 Araba/Álava,Employment rate,2020,50.42,3
Both sexes,01 Araba/Álava,Employment rate,2020,49.84,2
Both sexes,01 Araba/Álava,Employment rate,2020,52.15,1
Both sexes,33 Asturias,Activity rate,2020,50.18,4
Both sexes,33 Asturias,Activity rate,2020,50.05,3
Both sexes,33 Asturias,Activity rate,2020,48.91,2
Both sexes,33 Asturias,Activity rate,2020,50.95,1
Both sexes,33 Asturias,Unemployment rate,2020,13.5,4
Both sexes,33 Asturias,Unemployment rate,2020,14.16,3
Both sexes,33 Asturias,Unemployment rate,2020,14.45,2
Both sexes,33 Asturias,Unemployment rate,2020,14.37,1
Both sexes,33 Asturias,Employment rate,2020,43.41,4
Both sexes,33 Asturias,Employment rate,2020,42.96,3
Both sexes,33 Asturias,Employment rate,2020,41.84,2
Both sexes,33 Asturias,Employment rate,2020,43.63,1
Both sexes,05 Ávila,Activity rate,2020,55.63,4
Both sexes,05 Ávila,Activity rate,2020,55.78,3
Both sexes,05 Ávila,Activity rate,2020,52.08,2
Both sexes,05 Ávila,Activity rate,2020,53.95,1
Both sexes,05 Ávila,Unemployment rate,2020,16.06,4
Both sexes,05 Ávila,Unemployment rate,2020,15.43,3
Both sexes,05 Ávila,Unemployment rate,2020,13.38,2
Both sexes,05 Ávila,Unemployment rate,2020,12.85,1
Both sexes,05 Ávila,Employment rate,2020,46.69,4
Both sexes,05 Ávila,Employment rate,2020,47.17,3
