autonomous_communities_and_cities,index_type,year,total
Nacional,General,2013,100.0
Nacional,New dwelling,2013,28.6
Nacional,Second-hand dwelling,2013,71.4
01 Andalucía,General,2013,100.0
01 Andalucía,New dwelling,2013,26.181
01 Andalucía,Second-hand dwelling,2013,73.819
02 Aragón,General,2013,100.0
02 Aragón,New dwelling,2013,38.543
02 Aragón,Second-hand dwelling,2013,61.457
03 Asturias. Principado de,General,2013,100.0
03 Asturias. Principado de,New dwelling,2013,45.009
03 Asturias. Principado de,Second-hand dwelling,2013,54.991
04 Balears. Illes,General,2013,100.0
04 Balears. Illes,New dwelling,2013,25.093
04 Balears. Illes,Second-hand dwelling,2013,74.907
05 Canarias,General,2013,100.0
05 Canarias,New dwelling,2013,20.725
05 Canarias,Second-hand dwelling,2013,79.275
06 Cantabria,General,2013,100.0
06 Cantabria,New dwelling,2013,41.473
06 Cantabria,Second-hand dwelling,2013,58.527
07 Castilla y León,General,2013,100.0
07 Castilla y León,New dwelling,2013,37.744
07 Castilla y León,Second-hand dwelling,2013,62.256
08 Castilla - La Mancha,General,2013,100.0
08 Castilla - La Mancha,New dwelling,2013,43.256
08 Castilla - La Mancha,Second-hand dwelling,2013,56.744
09 Cataluña,General,2013,100.0
09 Cataluña,New dwelling,2013,18.79
09 Cataluña,Second-hand dwelling,2013,81.21
10 Comunitat Valenciana,General,2013,100.0
10 Comunitat Valenciana,New dwelling,2013,23.441
10 Comunitat Valenciana,Second-hand dwelling,2013,76.559
11 Extremadura,General,2013,100.0
11 Extremadura,New dwelling,2013,33.073
11 Extremadura,Second-hand dwelling,2013,66.927
12 Galicia,General,2013,100.0
12 Galicia,New dwelling,2013,48.716
12 Galicia,Second-hand dwelling,2013,51.284
13 Madrid. Comunidad de,General,2013,100.0
13 Madrid. Comunidad de,New dwelling,2013,24.843
13 Madrid. Comunidad de,Second-hand dwelling,2013,75.157
14 Murcia. Región de,General,2013,100.0
14 Murcia. Región de,New dwelling,2013,35.379
14 Murcia. Región de,Second-hand dwelling,2013,64.621
15 Navarra. Comunidad Foral de,General,2013,100.0
15 Navarra. Comunidad Foral de,New dwelling,2013,40.142
15 Navarra. Comunidad Foral de,Second-hand dwelling,2013,59.858
16 País Vasco,General,2013,100.0
16 País Vasco,New dwelling,2013,40.047
16 País Vasco,Second-hand dwelling,2013,59.953
17 Rioja. La,General,2013,100.0
17 Rioja. La,New dwelling,2013,44.205
17 Rioja. La,Second-hand dwelling,2013,55.795
18 Ceuta,General,2013,
18 Ceuta,New dwelling,2013,
18 Ceuta,Second-hand dwelling,2013,
19 Melilla,General,2013,
19 Melilla,New dwelling,2013,
19 Melilla,Second-hand dwelling,2013,
