sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2013,59.86,4
Both sexes,National Total,Activity rate,2013,60.04,3
Both sexes,National Total,Activity rate,2013,60,2
Both sexes,National Total,Activity rate,2013,60.18,1
Both sexes,National Total,Unemployment rate,2013,25.73,4
Both sexes,National Total,Unemployment rate,2013,25.65,3
Both sexes,National Total,Unemployment rate,2013,26.06,2
Both sexes,National Total,Unemployment rate,2013,26.94,1
Both sexes,National Total,Employment rate,2013,44.46,4
Both sexes,National Total,Employment rate,2013,44.64,3
Both sexes,National Total,Employment rate,2013,44.36,2
Both sexes,National Total,Employment rate,2013,43.97,1
Both sexes,02 Albacete,Activity rate,2013,57.65,4
Both sexes,02 Albacete,Activity rate,2013,59.53,3
Both sexes,02 Albacete,Activity rate,2013,58.3,2
Both sexes,02 Albacete,Activity rate,2013,57.73,1
Both sexes,02 Albacete,Unemployment rate,2013,29,4
Both sexes,02 Albacete,Unemployment rate,2013,30.53,3
Both sexes,02 Albacete,Unemployment rate,2013,30.59,2
Both sexes,02 Albacete,Unemployment rate,2013,33.83,1
Both sexes,02 Albacete,Employment rate,2013,40.93,4
Both sexes,02 Albacete,Employment rate,2013,41.36,3
Both sexes,02 Albacete,Employment rate,2013,40.46,2
Both sexes,02 Albacete,Employment rate,2013,38.2,1
Both sexes,03 Alicante/Alacant,Activity rate,2013,58.79,4
Both sexes,03 Alicante/Alacant,Activity rate,2013,58.42,3
Both sexes,03 Alicante/Alacant,Activity rate,2013,58.26,2
Both sexes,03 Alicante/Alacant,Activity rate,2013,57.45,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2013,29.48,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2013,26.87,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2013,27.33,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2013,29.34,1
Both sexes,03 Alicante/Alacant,Employment rate,2013,41.46,4
Both sexes,03 Alicante/Alacant,Employment rate,2013,42.72,3
Both sexes,03 Alicante/Alacant,Employment rate,2013,42.33,2
Both sexes,03 Alicante/Alacant,Employment rate,2013,40.59,1
Both sexes,04 Almería,Activity rate,2013,64.17,4
Both sexes,04 Almería,Activity rate,2013,62.51,3
Both sexes,04 Almería,Activity rate,2013,65.05,2
Both sexes,04 Almería,Activity rate,2013,64.22,1
Both sexes,04 Almería,Unemployment rate,2013,35.69,4
Both sexes,04 Almería,Unemployment rate,2013,38.16,3
Both sexes,04 Almería,Unemployment rate,2013,34.5,2
Both sexes,04 Almería,Unemployment rate,2013,35.87,1
Both sexes,04 Almería,Employment rate,2013,41.27,4
Both sexes,04 Almería,Employment rate,2013,38.65,3
Both sexes,04 Almería,Employment rate,2013,42.61,2
Both sexes,04 Almería,Employment rate,2013,41.19,1
Both sexes,01 Araba/Álava,Activity rate,2013,61.89,4
Both sexes,01 Araba/Álava,Activity rate,2013,61.35,3
Both sexes,01 Araba/Álava,Activity rate,2013,61.62,2
Both sexes,01 Araba/Álava,Activity rate,2013,61.45,1
Both sexes,01 Araba/Álava,Unemployment rate,2013,18.75,4
Both sexes,01 Araba/Álava,Unemployment rate,2013,17.06,3
Both sexes,01 Araba/Álava,Unemployment rate,2013,16.81,2
Both sexes,01 Araba/Álava,Unemployment rate,2013,17.43,1
Both sexes,01 Araba/Álava,Employment rate,2013,50.29,4
Both sexes,01 Araba/Álava,Employment rate,2013,50.88,3
Both sexes,01 Araba/Álava,Employment rate,2013,51.26,2
Both sexes,01 Araba/Álava,Employment rate,2013,50.73,1
Both sexes,33 Asturias,Activity rate,2013,52.3,4
Both sexes,33 Asturias,Activity rate,2013,52.62,3
Both sexes,33 Asturias,Activity rate,2013,51.75,2
Both sexes,33 Asturias,Activity rate,2013,53.07,1
Both sexes,33 Asturias,Unemployment rate,2013,22.29,4
Both sexes,33 Asturias,Unemployment rate,2013,24.15,3
Both sexes,33 Asturias,Unemployment rate,2013,24.56,2
Both sexes,33 Asturias,Unemployment rate,2013,25.51,1
Both sexes,33 Asturias,Employment rate,2013,40.64,4
Both sexes,33 Asturias,Employment rate,2013,39.92,3
Both sexes,33 Asturias,Employment rate,2013,39.05,2
Both sexes,33 Asturias,Employment rate,2013,39.53,1
Both sexes,05 Ávila,Activity rate,2013,55.83,4
Both sexes,05 Ávila,Activity rate,2013,55.98,3
Both sexes,05 Ávila,Activity rate,2013,53.74,2
Both sexes,05 Ávila,Activity rate,2013,54.25,1
Both sexes,05 Ávila,Unemployment rate,2013,25.48,4
Both sexes,05 Ávila,Unemployment rate,2013,23.71,3
Both sexes,05 Ávila,Unemployment rate,2013,25.87,2
Both sexes,05 Ávila,Unemployment rate,2013,27.04,1
Both sexes,05 Ávila,Employment rate,2013,41.6,4
Both sexes,05 Ávila,Employment rate,2013,42.71,3
Both sexes,05 Ávila,Employment rate,2013,39.84,2
Both sexes,05 Ávila,Employment rate,2013,39.58,1
Both sexes,06 Badajoz,Activity rate,2013,55.54,4
Both sexes,06 Badajoz,Activity rate,2013,56.35,3
Both sexes,06 Badajoz,Activity rate,2013,56.92,2
Both sexes,06 Badajoz,Activity rate,2013,57.72,1
Both sexes,06 Badajoz,Unemployment rate,2013,33.07,4
Both sexes,06 Badajoz,Unemployment rate,2013,33.51,3
Both sexes,06 Badajoz,Unemployment rate,2013,34.74,2
Both sexes,06 Badajoz,Unemployment rate,2013,36.26,1
Both sexes,06 Badajoz,Employment rate,2013,37.17,4
Both sexes,06 Badajoz,Employment rate,2013,37.46,3
Both sexes,06 Badajoz,Employment rate,2013,37.15,2
Both sexes,06 Badajoz,Employment rate,2013,36.79,1
Both sexes,07 Balears. Illes,Activity rate,2013,63.6,4
Both sexes,07 Balears. Illes,Activity rate,2013,67.81,3
Both sexes,07 Balears. Illes,Activity rate,2013,68.21,2
Both sexes,07 Balears. Illes,Activity rate,2013,65.28,1
Both sexes,07 Balears. Illes,Unemployment rate,2013,22.72,4
Both sexes,07 Balears. Illes,Unemployment rate,2013,16.93,3
Both sexes,07 Balears. Illes,Unemployment rate,2013,21.14,2
Both sexes,07 Balears. Illes,Unemployment rate,2013,28.55,1
Both sexes,07 Balears. Illes,Employment rate,2013,49.15,4
Both sexes,07 Balears. Illes,Employment rate,2013,56.33,3
Both sexes,07 Balears. Illes,Employment rate,2013,53.79,2
Both sexes,07 Balears. Illes,Employment rate,2013,46.64,1
Both sexes,08 Barcelona,Activity rate,2013,62.87,4
Both sexes,08 Barcelona,Activity rate,2013,63.2,3
Both sexes,08 Barcelona,Activity rate,2013,62.5,2
Both sexes,08 Barcelona,Activity rate,2013,63.43,1
Both sexes,08 Barcelona,Unemployment rate,2013,21.39,4
Both sexes,08 Barcelona,Unemployment rate,2013,22.98,3
Both sexes,08 Barcelona,Unemployment rate,2013,23.72,2
Both sexes,08 Barcelona,Unemployment rate,2013,24.38,1
Both sexes,08 Barcelona,Employment rate,2013,49.42,4
Both sexes,08 Barcelona,Employment rate,2013,48.68,3
Both sexes,08 Barcelona,Employment rate,2013,47.68,2
Both sexes,08 Barcelona,Employment rate,2013,47.97,1
Both sexes,48 Bizkaia,Activity rate,2013,57.2,4
Both sexes,48 Bizkaia,Activity rate,2013,56.4,3
Both sexes,48 Bizkaia,Activity rate,2013,56.94,2
