autonomous_communities_and_cities,index_type,year,total
Nacional,General,2010,100.0
Nacional,New dwelling,2010,54.673
Nacional,Second-hand dwelling,2010,45.327
01 Andalucía,General,2010,100.0
01 Andalucía,New dwelling,2010,58.213
01 Andalucía,Second-hand dwelling,2010,41.787
02 Aragón,General,2010,100.0
02 Aragón,New dwelling,2010,57.879
02 Aragón,Second-hand dwelling,2010,42.121
03 Asturias. Principado de,General,2010,100.0
03 Asturias. Principado de,New dwelling,2010,67.217
03 Asturias. Principado de,Second-hand dwelling,2010,32.783
04 Balears. Illes,General,2010,100.0
04 Balears. Illes,New dwelling,2010,40.82
04 Balears. Illes,Second-hand dwelling,2010,59.18
05 Canarias,General,2010,100.0
05 Canarias,New dwelling,2010,49.63
05 Canarias,Second-hand dwelling,2010,50.37
06 Cantabria,General,2010,100.0
06 Cantabria,New dwelling,2010,70.69
06 Cantabria,Second-hand dwelling,2010,29.31
07 Castilla y León,General,2010,100.0
07 Castilla y León,New dwelling,2010,67.419
07 Castilla y León,Second-hand dwelling,2010,32.581
08 Castilla - La Mancha,General,2010,100.0
08 Castilla - La Mancha,New dwelling,2010,75.576
08 Castilla - La Mancha,Second-hand dwelling,2010,24.424
09 Cataluña,General,2010,100.0
09 Cataluña,New dwelling,2010,36.85
09 Cataluña,Second-hand dwelling,2010,63.15
10 Comunitat Valenciana,General,2010,100.0
10 Comunitat Valenciana,New dwelling,2010,58.276
10 Comunitat Valenciana,Second-hand dwelling,2010,41.724
11 Extremadura,General,2010,100.0
11 Extremadura,New dwelling,2010,62.011
11 Extremadura,Second-hand dwelling,2010,37.989
12 Galicia,General,2010,100.0
12 Galicia,New dwelling,2010,69.623
12 Galicia,Second-hand dwelling,2010,30.377
13 Madrid. Comunidad de,General,2010,100.0
13 Madrid. Comunidad de,New dwelling,2010,41.984
13 Madrid. Comunidad de,Second-hand dwelling,2010,58.016
14 Murcia. Región de,General,2010,100.0
14 Murcia. Región de,New dwelling,2010,74.177
14 Murcia. Región de,Second-hand dwelling,2010,25.823
15 Navarra. Comunidad Foral de,General,2010,100.0
15 Navarra. Comunidad Foral de,New dwelling,2010,64.761
15 Navarra. Comunidad Foral de,Second-hand dwelling,2010,35.239
16 País Vasco,General,2010,100.0
16 País Vasco,New dwelling,2010,47.388
16 País Vasco,Second-hand dwelling,2010,52.612
17 Rioja. La,General,2010,100.0
17 Rioja. La,New dwelling,2010,70.175
17 Rioja. La,Second-hand dwelling,2010,29.825
18 Ceuta,General,2010,
18 Ceuta,New dwelling,2010,
18 Ceuta,Second-hand dwelling,2010,
19 Melilla,General,2010,
19 Melilla,New dwelling,2010,
19 Melilla,Second-hand dwelling,2010,
