sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2010,60.25,4
Both sexes,National Total,Activity rate,2010,60.37,3
Both sexes,National Total,Activity rate,2010,60.41,2
Both sexes,National Total,Activity rate,2010,60.09,1
Both sexes,National Total,Unemployment rate,2010,20.11,4
Both sexes,National Total,Unemployment rate,2010,19.59,3
Both sexes,National Total,Unemployment rate,2010,19.89,2
Both sexes,National Total,Unemployment rate,2010,19.84,1
Both sexes,National Total,Employment rate,2010,48.13,4
Both sexes,National Total,Employment rate,2010,48.54,3
Both sexes,National Total,Employment rate,2010,48.4,2
Both sexes,National Total,Employment rate,2010,48.17,1
Both sexes,02 Albacete,Activity rate,2010,59.27,4
Both sexes,02 Albacete,Activity rate,2010,58.72,3
Both sexes,02 Albacete,Activity rate,2010,59.15,2
Both sexes,02 Albacete,Activity rate,2010,57.83,1
Both sexes,02 Albacete,Unemployment rate,2010,21.25,4
Both sexes,02 Albacete,Unemployment rate,2010,22.2,3
Both sexes,02 Albacete,Unemployment rate,2010,24.06,2
Both sexes,02 Albacete,Unemployment rate,2010,23.15,1
Both sexes,02 Albacete,Employment rate,2010,46.68,4
Both sexes,02 Albacete,Employment rate,2010,45.69,3
Both sexes,02 Albacete,Employment rate,2010,44.92,2
Both sexes,02 Albacete,Employment rate,2010,44.45,1
Both sexes,03 Alicante/Alacant,Activity rate,2010,58.17,4
Both sexes,03 Alicante/Alacant,Activity rate,2010,59.16,3
Both sexes,03 Alicante/Alacant,Activity rate,2010,58.23,2
Both sexes,03 Alicante/Alacant,Activity rate,2010,58.37,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2010,24.68,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2010,24.8,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2010,23.96,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2010,23.2,1
Both sexes,03 Alicante/Alacant,Employment rate,2010,43.81,4
Both sexes,03 Alicante/Alacant,Employment rate,2010,44.49,3
Both sexes,03 Alicante/Alacant,Employment rate,2010,44.28,2
Both sexes,03 Alicante/Alacant,Employment rate,2010,44.83,1
Both sexes,04 Almería,Activity rate,2010,64.32,4
Both sexes,04 Almería,Activity rate,2010,63.08,3
Both sexes,04 Almería,Activity rate,2010,64.21,2
Both sexes,04 Almería,Activity rate,2010,65.74,1
Both sexes,04 Almería,Unemployment rate,2010,26.53,4
Both sexes,04 Almería,Unemployment rate,2010,27.23,3
Both sexes,04 Almería,Unemployment rate,2010,30.14,2
Both sexes,04 Almería,Unemployment rate,2010,28.15,1
Both sexes,04 Almería,Employment rate,2010,47.26,4
Both sexes,04 Almería,Employment rate,2010,45.9,3
Both sexes,04 Almería,Employment rate,2010,44.86,2
Both sexes,04 Almería,Employment rate,2010,47.24,1
Both sexes,01 Araba/Álava,Activity rate,2010,61.82,4
