autonomous_communities_and_cities,index_type,year,total
Nacional,General,2019,100.0
Nacional,New dwelling,2019,12.703
Nacional,Second-hand dwelling,2019,87.297
01 Andalucía,General,2019,100.0
01 Andalucía,New dwelling,2019,10.131
01 Andalucía,Second-hand dwelling,2019,89.869
02 Aragón,General,2019,100.0
02 Aragón,New dwelling,2019,21.587
02 Aragón,Second-hand dwelling,2019,78.413
03 Asturias. Principado de,General,2019,100.0
03 Asturias. Principado de,New dwelling,2019,13.431
03 Asturias. Principado de,Second-hand dwelling,2019,86.569
04 Balears. Illes,General,2019,100.0
04 Balears. Illes,New dwelling,2019,7.045
04 Balears. Illes,Second-hand dwelling,2019,92.955
05 Canarias,General,2019,100.0
05 Canarias,New dwelling,2019,7.951
05 Canarias,Second-hand dwelling,2019,92.049
06 Cantabria,General,2019,100.0
06 Cantabria,New dwelling,2019,13.188
06 Cantabria,Second-hand dwelling,2019,86.812
07 Castilla y León,General,2019,100.0
07 Castilla y León,New dwelling,2019,11.331
07 Castilla y León,Second-hand dwelling,2019,88.669
08 Castilla - La Mancha,General,2019,100.0
08 Castilla - La Mancha,New dwelling,2019,15.396
08 Castilla - La Mancha,Second-hand dwelling,2019,84.604
09 Cataluña,General,2019,100.0
09 Cataluña,New dwelling,2019,8.711
09 Cataluña,Second-hand dwelling,2019,91.289
10 Comunitat Valenciana,General,2019,100.0
10 Comunitat Valenciana,New dwelling,2019,13.933
10 Comunitat Valenciana,Second-hand dwelling,2019,86.067
11 Extremadura,General,2019,100.0
11 Extremadura,New dwelling,2019,5.809
11 Extremadura,Second-hand dwelling,2019,94.191
12 Galicia,General,2019,100.0
12 Galicia,New dwelling,2019,13.082
12 Galicia,Second-hand dwelling,2019,86.918
13 Madrid. Comunidad de,General,2019,100.0
13 Madrid. Comunidad de,New dwelling,2019,16.56
13 Madrid. Comunidad de,Second-hand dwelling,2019,83.44
14 Murcia. Región de,General,2019,100.0
14 Murcia. Región de,New dwelling,2019,11.696
14 Murcia. Región de,Second-hand dwelling,2019,88.304
15 Navarra. Comunidad Foral de,General,2019,100.0
15 Navarra. Comunidad Foral de,New dwelling,2019,33.909
15 Navarra. Comunidad Foral de,Second-hand dwelling,2019,66.091
16 País Vasco,General,2019,100.0
16 País Vasco,New dwelling,2019,15.75
16 País Vasco,Second-hand dwelling,2019,84.25
17 Rioja. La,General,2019,100.0
17 Rioja. La,New dwelling,2019,8.302
17 Rioja. La,Second-hand dwelling,2019,91.698
18 Ceuta,General,2019,
18 Ceuta,New dwelling,2019,
18 Ceuta,Second-hand dwelling,2019,
19 Melilla,General,2019,
19 Melilla,New dwelling,2019,
19 Melilla,Second-hand dwelling,2019,
