autonomous_communities_and_cities,index_type,year,total
Nacional,General,2022,100.0
Nacional,New dwelling,2022,17.763
Nacional,Second-hand dwelling,2022,82.237
01 Andalucía,General,2022,100.0
01 Andalucía,New dwelling,2022,18.996
01 Andalucía,Second-hand dwelling,2022,81.004
02 Aragón,General,2022,100.0
02 Aragón,New dwelling,2022,23.305
02 Aragón,Second-hand dwelling,2022,76.695
03 Asturias. Principado de,General,2022,100.0
03 Asturias. Principado de,New dwelling,2022,15.925
03 Asturias. Principado de,Second-hand dwelling,2022,84.075
04 Balears. Illes,General,2022,100.0
04 Balears. Illes,New dwelling,2022,11.575
04 Balears. Illes,Second-hand dwelling,2022,88.425
05 Canarias,General,2022,100.0
05 Canarias,New dwelling,2022,7.985
05 Canarias,Second-hand dwelling,2022,92.015
06 Cantabria,General,2022,100.0
06 Cantabria,New dwelling,2022,12.162
06 Cantabria,Second-hand dwelling,2022,87.838
07 Castilla y León,General,2022,100.0
07 Castilla y León,New dwelling,2022,15.856
07 Castilla y León,Second-hand dwelling,2022,84.144
08 Castilla - La Mancha,General,2022,100.0
08 Castilla - La Mancha,New dwelling,2022,16.465
08 Castilla - La Mancha,Second-hand dwelling,2022,83.535
09 Cataluña,General,2022,100.0
09 Cataluña,New dwelling,2022,11.922
09 Cataluña,Second-hand dwelling,2022,88.078
10 Comunitat Valenciana,General,2022,100.0
10 Comunitat Valenciana,New dwelling,2022,18.467
10 Comunitat Valenciana,Second-hand dwelling,2022,81.533
11 Extremadura,General,2022,100.0
11 Extremadura,New dwelling,2022,5.654
11 Extremadura,Second-hand dwelling,2022,94.346
12 Galicia,General,2022,100.0
12 Galicia,New dwelling,2022,15.343
12 Galicia,Second-hand dwelling,2022,84.657
13 Madrid. Comunidad de,General,2022,100.0
13 Madrid. Comunidad de,New dwelling,2022,24.374
13 Madrid. Comunidad de,Second-hand dwelling,2022,75.626
14 Murcia. Región de,General,2022,100.0
14 Murcia. Región de,New dwelling,2022,12.247
14 Murcia. Región de,Second-hand dwelling,2022,87.753
15 Navarra. Comunidad Foral de,General,2022,100.0
15 Navarra. Comunidad Foral de,New dwelling,2022,30.965
15 Navarra. Comunidad Foral de,Second-hand dwelling,2022,69.035
16 País Vasco,General,2022,100.0
16 País Vasco,New dwelling,2022,20.991
16 País Vasco,Second-hand dwelling,2022,79.009
17 Rioja. La,General,2022,100.0
17 Rioja. La,New dwelling,2022,10.366
17 Rioja. La,Second-hand dwelling,2022,89.634
18 Ceuta,General,2022,
18 Ceuta,New dwelling,2022,
18 Ceuta,Second-hand dwelling,2022,
19 Melilla,General,2022,
19 Melilla,New dwelling,2022,
19 Melilla,Second-hand dwelling,2022,
