sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2022,58.52,4
Both sexes,National Total,Activity rate,2022,58.86,3
Both sexes,National Total,Activity rate,2022,58.71,2
Both sexes,National Total,Activity rate,2022,58.5,1
Both sexes,National Total,Unemployment rate,2022,12.87,4
Both sexes,National Total,Unemployment rate,2022,12.67,3
Both sexes,National Total,Unemployment rate,2022,12.48,2
Both sexes,National Total,Unemployment rate,2022,13.65,1
Both sexes,National Total,Employment rate,2022,50.99,4
Both sexes,National Total,Employment rate,2022,51.4,3
Both sexes,National Total,Employment rate,2022,51.38,2
Both sexes,National Total,Employment rate,2022,50.51,1
Both sexes,02 Albacete,Activity rate,2022,59.05,4
Both sexes,02 Albacete,Activity rate,2022,57.47,3
Both sexes,02 Albacete,Activity rate,2022,58.07,2
Both sexes,02 Albacete,Activity rate,2022,58.16,1
Both sexes,02 Albacete,Unemployment rate,2022,11,4
Both sexes,02 Albacete,Unemployment rate,2022,10.7,3
Both sexes,02 Albacete,Unemployment rate,2022,12.41,2
Both sexes,02 Albacete,Unemployment rate,2022,16.57,1
Both sexes,02 Albacete,Employment rate,2022,52.55,4
Both sexes,02 Albacete,Employment rate,2022,51.32,3
Both sexes,02 Albacete,Employment rate,2022,50.86,2
Both sexes,02 Albacete,Employment rate,2022,48.52,1
Both sexes,03 Alicante/Alacant,Activity rate,2022,60.21,4
Both sexes,03 Alicante/Alacant,Activity rate,2022,58.15,3
Both sexes,03 Alicante/Alacant,Activity rate,2022,57.08,2
Both sexes,03 Alicante/Alacant,Activity rate,2022,57.88,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2022,15.21,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2022,13.61,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2022,14.13,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2022,14.78,1
Both sexes,03 Alicante/Alacant,Employment rate,2022,51.05,4
Both sexes,03 Alicante/Alacant,Employment rate,2022,50.23,3
