autonomous_communities_and_cities,index_type,year,total
Nacional,General,2008,100.0
Nacional,New dwelling,2008,46.286
Nacional,Second-hand dwelling,2008,53.714
01 Andalucía,General,2008,100.0
01 Andalucía,New dwelling,2008,48.865
01 Andalucía,Second-hand dwelling,2008,51.135
02 Aragón,General,2008,100.0
02 Aragón,New dwelling,2008,49.632
02 Aragón,Second-hand dwelling,2008,50.368
03 Asturias. Principado de,General,2008,100.0
03 Asturias. Principado de,New dwelling,2008,53.908
03 Asturias. Principado de,Second-hand dwelling,2008,46.092
04 Balears. Illes,General,2008,100.0
04 Balears. Illes,New dwelling,2008,35.76
04 Balears. Illes,Second-hand dwelling,2008,64.24
05 Canarias,General,2008,100.0
05 Canarias,New dwelling,2008,49.652
05 Canarias,Second-hand dwelling,2008,50.348
06 Cantabria,General,2008,100.0
06 Cantabria,New dwelling,2008,54.933
06 Cantabria,Second-hand dwelling,2008,45.067
07 Castilla y León,General,2008,100.0
07 Castilla y León,New dwelling,2008,60.332
07 Castilla y León,Second-hand dwelling,2008,39.668
08 Castilla - La Mancha,General,2008,100.0
08 Castilla - La Mancha,New dwelling,2008,66.093
08 Castilla - La Mancha,Second-hand dwelling,2008,33.907
09 Cataluña,General,2008,100.0
09 Cataluña,New dwelling,2008,33.237
09 Cataluña,Second-hand dwelling,2008,66.763
10 Comunitat Valenciana,General,2008,100.0
10 Comunitat Valenciana,New dwelling,2008,51.635
10 Comunitat Valenciana,Second-hand dwelling,2008,48.365
11 Extremadura,General,2008,100.0
11 Extremadura,New dwelling,2008,47.977
11 Extremadura,Second-hand dwelling,2008,52.023
12 Galicia,General,2008,100.0
12 Galicia,New dwelling,2008,61.505
12 Galicia,Second-hand dwelling,2008,38.495
13 Madrid. Comunidad de,General,2008,100.0
13 Madrid. Comunidad de,New dwelling,2008,42.985
13 Madrid. Comunidad de,Second-hand dwelling,2008,57.015
14 Murcia. Región de,General,2008,100.0
14 Murcia. Región de,New dwelling,2008,56.639
14 Murcia. Región de,Second-hand dwelling,2008,43.361
15 Navarra. Comunidad Foral de,General,2008,100.0
15 Navarra. Comunidad Foral de,New dwelling,2008,59.1
15 Navarra. Comunidad Foral de,Second-hand dwelling,2008,40.9
16 País Vasco,General,2008,100.0
16 País Vasco,New dwelling,2008,37.155
16 País Vasco,Second-hand dwelling,2008,62.845
17 Rioja. La,General,2008,100.0
17 Rioja. La,New dwelling,2008,61.39
17 Rioja. La,Second-hand dwelling,2008,38.61
18 Ceuta,General,2008,
18 Ceuta,New dwelling,2008,
18 Ceuta,Second-hand dwelling,2008,
19 Melilla,General,2008,
19 Melilla,New dwelling,2008,
19 Melilla,Second-hand dwelling,2008,
