sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2008,60.35,4
Both sexes,National Total,Activity rate,2008,60.23,3
Both sexes,National Total,Activity rate,2008,60.07,2
Both sexes,National Total,Activity rate,2008,59.67,1
Both sexes,National Total,Unemployment rate,2008,13.79,4
Both sexes,National Total,Unemployment rate,2008,11.23,3
Both sexes,National Total,Unemployment rate,2008,10.36,2
Both sexes,National Total,Unemployment rate,2008,9.6,1
Both sexes,National Total,Employment rate,2008,52.03,4
Both sexes,National Total,Employment rate,2008,53.47,3
Both sexes,National Total,Employment rate,2008,53.85,2
Both sexes,National Total,Employment rate,2008,53.94,1
Both sexes,02 Albacete,Activity rate,2008,58.78,4
Both sexes,02 Albacete,Activity rate,2008,59.82,3
Both sexes,02 Albacete,Activity rate,2008,58.29,2
Both sexes,02 Albacete,Activity rate,2008,58.41,1
Both sexes,02 Albacete,Unemployment rate,2008,17,4
Both sexes,02 Albacete,Unemployment rate,2008,11.47,3
Both sexes,02 Albacete,Unemployment rate,2008,10.37,2
Both sexes,02 Albacete,Unemployment rate,2008,9.95,1
Both sexes,02 Albacete,Employment rate,2008,48.79,4
Both sexes,02 Albacete,Employment rate,2008,52.96,3
Both sexes,02 Albacete,Employment rate,2008,52.24,2
Both sexes,02 Albacete,Employment rate,2008,52.6,1
Both sexes,03 Alicante/Alacant,Activity rate,2008,60.02,4
Both sexes,03 Alicante/Alacant,Activity rate,2008,59,3
Both sexes,03 Alicante/Alacant,Activity rate,2008,59.16,2
Both sexes,03 Alicante/Alacant,Activity rate,2008,58.04,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2008,15.92,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2008,13.5,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2008,13.57,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2008,10.96,1
Both sexes,03 Alicante/Alacant,Employment rate,2008,50.46,4
Both sexes,03 Alicante/Alacant,Employment rate,2008,51.04,3
Both sexes,03 Alicante/Alacant,Employment rate,2008,51.13,2
Both sexes,03 Alicante/Alacant,Employment rate,2008,51.68,1
Both sexes,04 Almería,Activity rate,2008,64.41,4
Both sexes,04 Almería,Activity rate,2008,60.65,3
Both sexes,04 Almería,Activity rate,2008,59.62,2
Both sexes,04 Almería,Activity rate,2008,62.26,1
Both sexes,04 Almería,Unemployment rate,2008,24.22,4
Both sexes,04 Almería,Unemployment rate,2008,21.58,3
Both sexes,04 Almería,Unemployment rate,2008,17.55,2
Both sexes,04 Almería,Unemployment rate,2008,14.22,1
Both sexes,04 Almería,Employment rate,2008,48.81,4
Both sexes,04 Almería,Employment rate,2008,47.56,3
Both sexes,04 Almería,Employment rate,2008,49.16,2
Both sexes,04 Almería,Employment rate,2008,53.41,1
Both sexes,01 Araba/Álava,Activity rate,2008,62.8,4
Both sexes,01 Araba/Álava,Activity rate,2008,62.82,3
Both sexes,01 Araba/Álava,Activity rate,2008,61.18,2
Both sexes,01 Araba/Álava,Activity rate,2008,59.7,1
Both sexes,01 Araba/Álava,Unemployment rate,2008,7.79,4
Both sexes,01 Araba/Álava,Unemployment rate,2008,4.38,3
Both sexes,01 Araba/Álava,Unemployment rate,2008,4.5,2
Both sexes,01 Araba/Álava,Unemployment rate,2008,3.27,1
Both sexes,01 Araba/Álava,Employment rate,2008,57.91,4
Both sexes,01 Araba/Álava,Employment rate,2008,60.08,3
Both sexes,01 Araba/Álava,Employment rate,2008,58.43,2
Both sexes,01 Araba/Álava,Employment rate,2008,57.75,1
Both sexes,33 Asturias,Activity rate,2008,52.45,4
Both sexes,33 Asturias,Activity rate,2008,53.58,3
Both sexes,33 Asturias,Activity rate,2008,52.78,2
Both sexes,33 Asturias,Activity rate,2008,51.85,1
Both sexes,33 Asturias,Unemployment rate,2008,10,4
Both sexes,33 Asturias,Unemployment rate,2008,7.6,3
Both sexes,33 Asturias,Unemployment rate,2008,7.84,2
Both sexes,33 Asturias,Unemployment rate,2008,8.56,1
Both sexes,33 Asturias,Employment rate,2008,47.21,4
Both sexes,33 Asturias,Employment rate,2008,49.5,3
Both sexes,33 Asturias,Employment rate,2008,48.64,2
Both sexes,33 Asturias,Employment rate,2008,47.41,1
Both sexes,05 Ávila,Activity rate,2008,52.6,4
Both sexes,05 Ávila,Activity rate,2008,53.28,3
Both sexes,05 Ávila,Activity rate,2008,52.97,2
