autonomous_communities_and_cities,index_type,year,total
Nacional,General,2015,100.0
Nacional,New dwelling,2015,14.484
Nacional,Second-hand dwelling,2015,85.516
01 Andalucía,General,2015,100.0
01 Andalucía,New dwelling,2015,12.375
01 Andalucía,Second-hand dwelling,2015,87.625
02 Aragón,General,2015,100.0
02 Aragón,New dwelling,2015,24.181
02 Aragón,Second-hand dwelling,2015,75.819
03 Asturias. Principado de,General,2015,100.0
03 Asturias. Principado de,New dwelling,2015,19.642
03 Asturias. Principado de,Second-hand dwelling,2015,80.358
04 Balears. Illes,General,2015,100.0
04 Balears. Illes,New dwelling,2015,10.799
04 Balears. Illes,Second-hand dwelling,2015,89.201
05 Canarias,General,2015,100.0
05 Canarias,New dwelling,2015,12.021
05 Canarias,Second-hand dwelling,2015,87.979
06 Cantabria,General,2015,100.0
06 Cantabria,New dwelling,2015,20.602
06 Cantabria,Second-hand dwelling,2015,79.398
07 Castilla y León,General,2015,100.0
07 Castilla y León,New dwelling,2015,17.825
07 Castilla y León,Second-hand dwelling,2015,82.175
08 Castilla - La Mancha,General,2015,100.0
08 Castilla - La Mancha,New dwelling,2015,20.827
08 Castilla - La Mancha,Second-hand dwelling,2015,79.173
09 Cataluña,General,2015,100.0
09 Cataluña,New dwelling,2015,9.461
09 Cataluña,Second-hand dwelling,2015,90.539
10 Comunitat Valenciana,General,2015,100.0
10 Comunitat Valenciana,New dwelling,2015,13.046
10 Comunitat Valenciana,Second-hand dwelling,2015,86.954
11 Extremadura,General,2015,100.0
11 Extremadura,New dwelling,2015,15.104
11 Extremadura,Second-hand dwelling,2015,84.896
12 Galicia,General,2015,100.0
12 Galicia,New dwelling,2015,24.257
12 Galicia,Second-hand dwelling,2015,75.743
13 Madrid. Comunidad de,General,2015,100.0
13 Madrid. Comunidad de,New dwelling,2015,13.737
13 Madrid. Comunidad de,Second-hand dwelling,2015,86.263
14 Murcia. Región de,General,2015,100.0
14 Murcia. Región de,New dwelling,2015,16.05
14 Murcia. Región de,Second-hand dwelling,2015,83.95
15 Navarra. Comunidad Foral de,General,2015,100.0
15 Navarra. Comunidad Foral de,New dwelling,2015,37.95
15 Navarra. Comunidad Foral de,Second-hand dwelling,2015,62.05
16 País Vasco,General,2015,100.0
16 País Vasco,New dwelling,2015,24.265
16 País Vasco,Second-hand dwelling,2015,75.735
17 Rioja. La,General,2015,100.0
17 Rioja. La,New dwelling,2015,20.417
17 Rioja. La,Second-hand dwelling,2015,79.583
18 Ceuta,General,2015,
18 Ceuta,New dwelling,2015,
18 Ceuta,Second-hand dwelling,2015,
19 Melilla,General,2015,
19 Melilla,New dwelling,2015,
19 Melilla,Second-hand dwelling,2015,
