sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2015,59.43,4
Both sexes,National Total,Activity rate,2015,59.5,3
Both sexes,National Total,Activity rate,2015,59.79,2
Both sexes,National Total,Activity rate,2015,59.45,1
Both sexes,National Total,Unemployment rate,2015,20.9,4
Both sexes,National Total,Unemployment rate,2015,21.18,3
Both sexes,National Total,Unemployment rate,2015,22.37,2
Both sexes,National Total,Unemployment rate,2015,23.78,1
Both sexes,National Total,Employment rate,2015,47.01,4
Both sexes,National Total,Employment rate,2015,46.9,3
Both sexes,National Total,Employment rate,2015,46.41,2
Both sexes,National Total,Employment rate,2015,45.32,1
Both sexes,02 Albacete,Activity rate,2015,58.07,4
Both sexes,02 Albacete,Activity rate,2015,57.72,3
Both sexes,02 Albacete,Activity rate,2015,58.19,2
Both sexes,02 Albacete,Activity rate,2015,57.21,1
Both sexes,02 Albacete,Unemployment rate,2015,21.97,4
Both sexes,02 Albacete,Unemployment rate,2015,23.28,3
Both sexes,02 Albacete,Unemployment rate,2015,24.66,2
Both sexes,02 Albacete,Unemployment rate,2015,28.82,1
Both sexes,02 Albacete,Employment rate,2015,45.32,4
Both sexes,02 Albacete,Employment rate,2015,44.28,3
Both sexes,02 Albacete,Employment rate,2015,43.84,2
Both sexes,02 Albacete,Employment rate,2015,40.72,1
Both sexes,03 Alicante/Alacant,Activity rate,2015,58.36,4
Both sexes,03 Alicante/Alacant,Activity rate,2015,58.21,3
Both sexes,03 Alicante/Alacant,Activity rate,2015,58.36,2
Both sexes,03 Alicante/Alacant,Activity rate,2015,57.58,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2015,22.96,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2015,23.39,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2015,24.11,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2015,26.42,1
Both sexes,03 Alicante/Alacant,Employment rate,2015,44.96,4
Both sexes,03 Alicante/Alacant,Employment rate,2015,44.6,3
Both sexes,03 Alicante/Alacant,Employment rate,2015,44.29,2
Both sexes,03 Alicante/Alacant,Employment rate,2015,42.37,1
Both sexes,04 Almería,Activity rate,2015,58.96,4
Both sexes,04 Almería,Activity rate,2015,60.63,3
Both sexes,04 Almería,Activity rate,2015,60.93,2
Both sexes,04 Almería,Activity rate,2015,61.56,1
Both sexes,04 Almería,Unemployment rate,2015,25.13,4
Both sexes,04 Almería,Unemployment rate,2015,31.08,3
Both sexes,04 Almería,Unemployment rate,2015,29.09,2
Both sexes,04 Almería,Unemployment rate,2015,30.66,1
Both sexes,04 Almería,Employment rate,2015,44.14,4
Both sexes,04 Almería,Employment rate,2015,41.79,3
Both sexes,04 Almería,Employment rate,2015,43.2,2
Both sexes,04 Almería,Employment rate,2015,42.68,1
Both sexes,01 Araba/Álava,Activity rate,2015,59.52,4
Both sexes,01 Araba/Álava,Activity rate,2015,57.86,3
Both sexes,01 Araba/Álava,Activity rate,2015,59.83,2
Both sexes,01 Araba/Álava,Activity rate,2015,61.22,1
Both sexes,01 Araba/Álava,Unemployment rate,2015,12.21,4
Both sexes,01 Araba/Álava,Unemployment rate,2015,13.33,3
Both sexes,01 Araba/Álava,Unemployment rate,2015,15.54,2
Both sexes,01 Araba/Álava,Unemployment rate,2015,18.97,1
Both sexes,01 Araba/Álava,Employment rate,2015,52.25,4
Both sexes,01 Araba/Álava,Employment rate,2015,50.14,3
Both sexes,01 Araba/Álava,Employment rate,2015,50.53,2
Both sexes,01 Araba/Álava,Employment rate,2015,49.61,1
Both sexes,33 Asturias,Activity rate,2015,51.8,4
Both sexes,33 Asturias,Activity rate,2015,51.42,3
Both sexes,33 Asturias,Activity rate,2015,50.53,2
Both sexes,33 Asturias,Activity rate,2015,50.13,1
Both sexes,33 Asturias,Unemployment rate,2015,20.33,4
Both sexes,33 Asturias,Unemployment rate,2015,16.97,3
Both sexes,33 Asturias,Unemployment rate,2015,20.15,2
Both sexes,33 Asturias,Unemployment rate,2015,18.99,1
Both sexes,33 Asturias,Employment rate,2015,41.27,4
Both sexes,33 Asturias,Employment rate,2015,42.69,3
Both sexes,33 Asturias,Employment rate,2015,40.35,2
Both sexes,33 Asturias,Employment rate,2015,40.61,1
Both sexes,05 Ávila,Activity rate,2015,52.47,4
Both sexes,05 Ávila,Activity rate,2015,54.98,3
Both sexes,05 Ávila,Activity rate,2015,54.68,2
Both sexes,05 Ávila,Activity rate,2015,52.33,1
Both sexes,05 Ávila,Unemployment rate,2015,21.08,4
Both sexes,05 Ávila,Unemployment rate,2015,21.01,3
Both sexes,05 Ávila,Unemployment rate,2015,23.93,2
Both sexes,05 Ávila,Unemployment rate,2015,25.92,1
Both sexes,05 Ávila,Employment rate,2015,41.41,4
Both sexes,05 Ávila,Employment rate,2015,43.43,3
Both sexes,05 Ávila,Employment rate,2015,41.59,2
Both sexes,05 Ávila,Employment rate,2015,38.77,1
Both sexes,06 Badajoz,Activity rate,2015,55.86,4
Both sexes,06 Badajoz,Activity rate,2015,56,3
Both sexes,06 Badajoz,Activity rate,2015,55.2,2
Both sexes,06 Badajoz,Activity rate,2015,55.11,1
Both sexes,06 Badajoz,Unemployment rate,2015,30.01,4
Both sexes,06 Badajoz,Unemployment rate,2015,29.63,3
Both sexes,06 Badajoz,Unemployment rate,2015,30.83,2
Both sexes,06 Badajoz,Unemployment rate,2015,30.54,1
Both sexes,06 Badajoz,Employment rate,2015,39.1,4
Both sexes,06 Badajoz,Employment rate,2015,39.41,3
Both sexes,06 Badajoz,Employment rate,2015,38.18,2
Both sexes,06 Badajoz,Employment rate,2015,38.28,1
Both sexes,07 Balears. Illes,Activity rate,2015,64.34,4
Both sexes,07 Balears. Illes,Activity rate,2015,68.69,3
Both sexes,07 Balears. Illes,Activity rate,2015,67.24,2
Both sexes,07 Balears. Illes,Activity rate,2015,62.82,1
Both sexes,07 Balears. Illes,Unemployment rate,2015,17.02,4
Both sexes,07 Balears. Illes,Unemployment rate,2015,13.88,3
Both sexes,07 Balears. Illes,Unemployment rate,2015,16.45,2
Both sexes,07 Balears. Illes,Unemployment rate,2015,22.29,1
Both sexes,07 Balears. Illes,Employment rate,2015,53.39,4
Both sexes,07 Balears. Illes,Employment rate,2015,59.16,3
Both sexes,07 Balears. Illes,Employment rate,2015,56.17,2
Both sexes,07 Balears. Illes,Employment rate,2015,48.82,1
Both sexes,08 Barcelona,Activity rate,2015,61.94,4
Both sexes,08 Barcelona,Activity rate,2015,61.78,3
Both sexes,08 Barcelona,Activity rate,2015,62.57,2
Both sexes,08 Barcelona,Activity rate,2015,61.94,1
Both sexes,08 Barcelona,Unemployment rate,2015,17.15,4
Both sexes,08 Barcelona,Unemployment rate,2015,17.24,3
Both sexes,08 Barcelona,Unemployment rate,2015,18.97,2
Both sexes,08 Barcelona,Unemployment rate,2015,19.58,1
Both sexes,08 Barcelona,Employment rate,2015,51.32,4
Both sexes,08 Barcelona,Employment rate,2015,51.13,3
Both sexes,08 Barcelona,Employment rate,2015,50.7,2
Both sexes,08 Barcelona,Employment rate,2015,49.81,1
Both sexes,48 Bizkaia,Activity rate,2015,56.09,4
Both sexes,48 Bizkaia,Activity rate,2015,55.19,3
Both sexes,48 Bizkaia,Activity rate,2015,55.9,2
Both sexes,48 Bizkaia,Activity rate,2015,57.12,1
Both sexes,48 Bizkaia,Unemployment rate,2015,14.79,4
Both sexes,48 Bizkaia,Unemployment rate,2015,14.85,3
