autonomous_communities_and_cities,index_type,year,total
Nacional,General,2017,100.0
Nacional,New dwelling,2017,12.172
Nacional,Second-hand dwelling,2017,87.828
01 Andalucía,General,2017,100.0
01 Andalucía,New dwelling,2017,9.54
01 Andalucía,Second-hand dwelling,2017,90.46
02 Aragón,General,2017,100.0
02 Aragón,New dwelling,2017,16.623
02 Aragón,Second-hand dwelling,2017,83.377
03 Asturias. Principado de,General,2017,100.0
03 Asturias. Principado de,New dwelling,2017,11.56
03 Asturias. Principado de,Second-hand dwelling,2017,88.44
04 Balears. Illes,General,2017,100.0
04 Balears. Illes,New dwelling,2017,9.527
04 Balears. Illes,Second-hand dwelling,2017,90.473
05 Canarias,General,2017,100.0
05 Canarias,New dwelling,2017,8.187
05 Canarias,Second-hand dwelling,2017,91.813
06 Cantabria,General,2017,100.0
06 Cantabria,New dwelling,2017,15.404
06 Cantabria,Second-hand dwelling,2017,84.596
07 Castilla y León,General,2017,100.0
07 Castilla y León,New dwelling,2017,11.988
07 Castilla y León,Second-hand dwelling,2017,88.012
08 Castilla - La Mancha,General,2017,100.0
08 Castilla - La Mancha,New dwelling,2017,16.453
08 Castilla - La Mancha,Second-hand dwelling,2017,83.547
09 Cataluña,General,2017,100.0
09 Cataluña,New dwelling,2017,8.065
09 Cataluña,Second-hand dwelling,2017,91.935
10 Comunitat Valenciana,General,2017,100.0
10 Comunitat Valenciana,New dwelling,2017,12.243
10 Comunitat Valenciana,Second-hand dwelling,2017,87.757
11 Extremadura,General,2017,100.0
11 Extremadura,New dwelling,2017,7.635
11 Extremadura,Second-hand dwelling,2017,92.365
12 Galicia,General,2017,100.0
12 Galicia,New dwelling,2017,16.926
12 Galicia,Second-hand dwelling,2017,83.074
13 Madrid. Comunidad de,General,2017,100.0
13 Madrid. Comunidad de,New dwelling,2017,15.501
13 Madrid. Comunidad de,Second-hand dwelling,2017,84.499
14 Murcia. Región de,General,2017,100.0
14 Murcia. Región de,New dwelling,2017,13.102
14 Murcia. Región de,Second-hand dwelling,2017,86.898
15 Navarra. Comunidad Foral de,General,2017,100.0
15 Navarra. Comunidad Foral de,New dwelling,2017,16.226
15 Navarra. Comunidad Foral de,Second-hand dwelling,2017,83.774
16 País Vasco,General,2017,100.0
16 País Vasco,New dwelling,2017,19.408
16 País Vasco,Second-hand dwelling,2017,80.592
17 Rioja. La,General,2017,100.0
17 Rioja. La,New dwelling,2017,10.914
17 Rioja. La,Second-hand dwelling,2017,89.086
18 Ceuta,General,2017,
18 Ceuta,New dwelling,2017,
18 Ceuta,Second-hand dwelling,2017,
19 Melilla,General,2017,
19 Melilla,New dwelling,2017,
19 Melilla,Second-hand dwelling,2017,
