sex,provinces,rates,year,total,quarter
Both sexes,National Total,Activity rate,2021,58.65,4
Both sexes,National Total,Activity rate,2021,59.14,3
Both sexes,National Total,Activity rate,2021,58.58,2
Both sexes,National Total,Activity rate,2021,57.69,1
Both sexes,National Total,Unemployment rate,2021,13.33,4
Both sexes,National Total,Unemployment rate,2021,14.57,3
Both sexes,National Total,Unemployment rate,2021,15.26,2
Both sexes,National Total,Unemployment rate,2021,15.98,1
Both sexes,National Total,Employment rate,2021,50.83,4
Both sexes,National Total,Employment rate,2021,50.52,3
Both sexes,National Total,Employment rate,2021,49.63,2
Both sexes,National Total,Employment rate,2021,48.47,1
Both sexes,02 Albacete,Activity rate,2021,55.5,4
Both sexes,02 Albacete,Activity rate,2021,59.12,3
Both sexes,02 Albacete,Activity rate,2021,58.13,2
Both sexes,02 Albacete,Activity rate,2021,58.17,1
Both sexes,02 Albacete,Unemployment rate,2021,12.07,4
Both sexes,02 Albacete,Unemployment rate,2021,15.49,3
Both sexes,02 Albacete,Unemployment rate,2021,14.65,2
Both sexes,02 Albacete,Unemployment rate,2021,19.77,1
Both sexes,02 Albacete,Employment rate,2021,48.8,4
Both sexes,02 Albacete,Employment rate,2021,49.96,3
Both sexes,02 Albacete,Employment rate,2021,49.62,2
Both sexes,02 Albacete,Employment rate,2021,46.67,1
Both sexes,03 Alicante/Alacant,Activity rate,2021,57.92,4
Both sexes,03 Alicante/Alacant,Activity rate,2021,57.17,3
Both sexes,03 Alicante/Alacant,Activity rate,2021,55.89,2
Both sexes,03 Alicante/Alacant,Activity rate,2021,55.27,1
Both sexes,03 Alicante/Alacant,Unemployment rate,2021,18.53,4
Both sexes,03 Alicante/Alacant,Unemployment rate,2021,18.43,3
Both sexes,03 Alicante/Alacant,Unemployment rate,2021,17.93,2
Both sexes,03 Alicante/Alacant,Unemployment rate,2021,19.17,1
Both sexes,03 Alicante/Alacant,Employment rate,2021,47.19,4
Both sexes,03 Alicante/Alacant,Employment rate,2021,46.64,3
Both sexes,03 Alicante/Alacant,Employment rate,2021,45.86,2
Both sexes,03 Alicante/Alacant,Employment rate,2021,44.68,1
Both sexes,04 Almería,Activity rate,2021,62.46,4
Both sexes,04 Almería,Activity rate,2021,61.55,3
Both sexes,04 Almería,Activity rate,2021,60.54,2
Both sexes,04 Almería,Activity rate,2021,61.32,1
Both sexes,04 Almería,Unemployment rate,2021,15.65,4
Both sexes,04 Almería,Unemployment rate,2021,21.41,3
Both sexes,04 Almería,Unemployment rate,2021,22.01,2
Both sexes,04 Almería,Unemployment rate,2021,17.14,1
Both sexes,04 Almería,Employment rate,2021,52.68,4
Both sexes,04 Almería,Employment rate,2021,48.37,3
Both sexes,04 Almería,Employment rate,2021,47.22,2
Both sexes,04 Almería,Employment rate,2021,50.8,1
Both sexes,01 Araba/Álava,Activity rate,2021,59.49,4
Both sexes,01 Araba/Álava,Activity rate,2021,58.3,3
Both sexes,01 Araba/Álava,Activity rate,2021,55.35,2
Both sexes,01 Araba/Álava,Activity rate,2021,56.06,1
