autonomous_communities_and_cities,index_type,year,total
Nacional,General,2014,100.0
Nacional,New dwelling,2014,16.437
Nacional,Second-hand dwelling,2014,83.563
01 Andalucía,General,2014,100.0
01 Andalucía,New dwelling,2014,14.116
01 Andalucía,Second-hand dwelling,2014,85.884
02 Aragón,General,2014,100.0
02 Aragón,New dwelling,2014,26.188
02 Aragón,Second-hand dwelling,2014,73.812
03 Asturias. Principado de,General,2014,100.0
03 Asturias. Principado de,New dwelling,2014,26.089
03 Asturias. Principado de,Second-hand dwelling,2014,73.911
04 Balears. Illes,General,2014,100.0
04 Balears. Illes,New dwelling,2014,15.46
04 Balears. Illes,Second-hand dwelling,2014,84.54
05 Canarias,General,2014,100.0
05 Canarias,New dwelling,2014,13.604
05 Canarias,Second-hand dwelling,2014,86.396
06 Cantabria,General,2014,100.0
06 Cantabria,New dwelling,2014,24.238
06 Cantabria,Second-hand dwelling,2014,75.762
07 Castilla y León,General,2014,100.0
07 Castilla y León,New dwelling,2014,18.407
07 Castilla y León,Second-hand dwelling,2014,81.593
08 Castilla - La Mancha,General,2014,100.0
08 Castilla - La Mancha,New dwelling,2014,20.354
08 Castilla - La Mancha,Second-hand dwelling,2014,79.646
09 Cataluña,General,2014,100.0
09 Cataluña,New dwelling,2014,10.112
09 Cataluña,Second-hand dwelling,2014,89.888
10 Comunitat Valenciana,General,2014,100.0
10 Comunitat Valenciana,New dwelling,2014,13.222
10 Comunitat Valenciana,Second-hand dwelling,2014,86.778
11 Extremadura,General,2014,100.0
11 Extremadura,New dwelling,2014,23.487
11 Extremadura,Second-hand dwelling,2014,76.513
12 Galicia,General,2014,100.0
12 Galicia,New dwelling,2014,30.83
12 Galicia,Second-hand dwelling,2014,69.17
13 Madrid. Comunidad de,General,2014,100.0
13 Madrid. Comunidad de,New dwelling,2014,16.648
13 Madrid. Comunidad de,Second-hand dwelling,2014,83.352
14 Murcia. Región de,General,2014,100.0
14 Murcia. Región de,New dwelling,2014,19.382
14 Murcia. Región de,Second-hand dwelling,2014,80.618
15 Navarra. Comunidad Foral de,General,2014,100.0
15 Navarra. Comunidad Foral de,New dwelling,2014,27.738
15 Navarra. Comunidad Foral de,Second-hand dwelling,2014,72.262
16 País Vasco,General,2014,100.0
16 País Vasco,New dwelling,2014,28.17
16 País Vasco,Second-hand dwelling,2014,71.83
17 Rioja. La,General,2014,100.0
17 Rioja. La,New dwelling,2014,26.747
17 Rioja. La,Second-hand dwelling,2014,73.253
18 Ceuta,General,2014,
18 Ceuta,New dwelling,2014,
18 Ceuta,Second-hand dwelling,2014,
19 Melilla,General,2014,
19 Melilla,New dwelling,2014,
19 Melilla,Second-hand dwelling,2014,
